	Iozone: Performance Test of File I/O
	        Version $Revision: 3.420 $
		Compiled for 64 bit mode.
		Build: linux-AMD64 

	Contributors:William Norcott, Don Capps, Isom Crawford, Kirby Collins
	             Al Slater, Scott Rhine, Mike Wisner, Ken Goss
	             Steve Landherr, Brad Smith, Mark Kelly, Dr. Alain CYR,
	             Randy Dunlap, Mark Montague, Dan Million, Gavin Brebner,
	             Jean-Marc Zucconi, Jeff Blomberg, Benny Halevy, Dave Boone,
	             Erik Habbinga, Kris Strecker, Walter Wong, Joshua Root,
	             Fabrice Bacchella, Zhenghua Xue, Qin Li, Darren Sawyer,
	             Vangel Bojaxhi, Ben England, Vikentsi Lapa.

	Run began: Fri Oct  4 07:06:24 2013

	Auto Mode
	Command line used: iozone -a
	Output is in Kbytes/sec
	Time Resolution = 0.000001 seconds.
	Processor cache size set to 1024 Kbytes.
	Processor cache line size set to 32 bytes.
	File stride size set to 17 * record size.
                                                            random  random    bkwd   record   stride                                   
              KB  reclen   write rewrite    read    reread    read   write    read  rewrite     read   fwrite frewrite   fread  freread
              64       4  243411 1232453  1947927  5860307 4274062 1722886 2662899  2052169  4564786  1599680  1526887 2467108  3958892
              64       8  447537 1460430  4274062  5735102 4897948 2067979 3203069  2379626  5860307  1828508  1828508 3541098  4897948
              64      16  410573  344233  3958892  5389653 5283570 2278628 2662899  2067979  4564786  1828508  1780008 4274062  7100397
              64      32  441646 1648808  4988978  7100397 6271021 2379626 2772930  2133730  4274062  2133730  2379626 3791156  4988978
              64      64  533875 2133730  6421025 10402178 7940539 3203069 4018152  3057153  4274062  3022727  2278628 4274062  7100397
             128       4  242949 1319723  3468030  4717434 3560017 1579934 2608629  1885042  2843510   953918  1332828 3124872  1349580
             128       8  535368 2027414  5325799  7917784 7176872 2905056 4407601  3445772  7917784  2511022  2035099 4717434  7476717
             128      16  343310 2035099  3982553  6406138 6114306 2464907 3445772  2843510  6114306  2238774  1802755 4444086  6727225
             128      32  907174 2714132  5545860 1172061410567140 2066432 4557257  4934216  8548124  4267461  3759450 4889281  9129573
             128      64  864797 1598754  5325799  7176872 6406138 2727923 3657016  2843510  4596273  1885042  2464907 3657016  5122535
             128     128  767171 2098744  5122535  5847904 4934216 1391557 3759450  2727923  4557257  2621367  1827299 4407601  6727225
             256       4  654798 1790149  4755158  6719046 1826695 2266207 1471270  2975955  4819184  2285501  2081678 4404088  6249745
             256       8  736041 1740810  4652146  6398720 5455847 2285501 4009406  2975955  4350555  2205688  1696795 4332998  6073004
             256      16  648079 1662639  4070199  5242734 4734192 2000242 2441400  3009318  5117791  1108314  2015259 3421677  4496299
             256      32  659625 2152625  2849590  6398720 5938650 2665657 4197489  3087188  4734192  2392442  2911402 4652146  7791708
             256      64  740100 2557711  6073004  8467615 7735574 3605511 5022044  4054829  5810112  3275543  1552085 4840911  8024634
             256     128  753077 2509882  6107548  7314033 7518900 3410808 4572895  3667079  5455847  2943325  4332998 4929815  2015259
             256     256  831194 2486631  6891544  7314033 7120034 1642294 4197489  1437779  4840911  3197509  2692393 2747508  7120034
             512       4  670291 1889050  4411377  6156675 5067142 2244430 3510074  3029721  4204110  2216629  1571169 4305250  5822804
             512       8  527273 2073249  5164632  7410080 6571132 2782414 3604335  3580298  5331314  2651850  2474613 4532414  7211022
             512      16  793657 1895721  4916336  7309196 6821616 2572435 4827914  3905895  5227492  2753870  2521095 5214798  7115451
             512      32  812884 2187279  5439343  7410080 7115451 3366987 4973263  4061007  5870558  2942541  2521095 5227492  7309196
             512      64  823167 2768068  5067142  7758090 7309196 3459188 5115422  4228947  7871843  3177664  2613128 5067142  7410080
             512     128  770866 2497638  5495016  7410080 7091952 3533174 4927617  4131319  5744919  3012719  2524058 4000485  6035551
