	Iozone: Performance Test of File I/O
	        Version $Revision: 3.420 $
		Compiled for 64 bit mode.
		Build: linux-AMD64 

	Contributors:William Norcott, Don Capps, Isom Crawford, Kirby Collins
	             Al Slater, Scott Rhine, Mike Wisner, Ken Goss
	             Steve Landherr, Brad Smith, Mark Kelly, Dr. Alain CYR,
	             Randy Dunlap, Mark Montague, Dan Million, Gavin Brebner,
	             Jean-Marc Zucconi, Jeff Blomberg, Benny Halevy, Dave Boone,
	             Erik Habbinga, Kris Strecker, Walter Wong, Joshua Root,
	             Fabrice Bacchella, Zhenghua Xue, Qin Li, Darren Sawyer,
	             Vangel Bojaxhi, Ben England, Vikentsi Lapa.

	Run began: Fri Oct  4 15:11:13 2013

	Auto Mode
	Command line used: iozone -a
	Output is in Kbytes/sec
	Time Resolution = 0.000001 seconds.
	Processor cache size set to 1024 Kbytes.
	Processor cache line size set to 32 bytes.
	File stride size set to 17 * record size.
                                                            random  random    bkwd   record   stride                                   
              KB  reclen   write rewrite    read    reread    read   write    read  rewrite     read   fwrite frewrite   fread  freread
              64       4  673098  542506  1638743  5860307 3958892 1780008 2689580  1933893  4274062  1599680  1336792 2801873  4564786
              64       8  528618 1183548  4897948  9006179 6271021 2561267 3738358  3057153  7100397  2537060  2278628 4274062  6421025
              64      16  520419 1780008  5283570 10821524 7940539 2923952 3541098  2923952  6421025  2444640  2133730 4564786  6421025
              64      32  225423 1879725  6421025 10821524 7940539 3057153 3363612  3203069  4564786  2772930  2379626 4274062  7100397
              64      64  512471 1363961  5389653  6421025 6421025 2379626 3203069  2467108  4274062  2467108  1553394 4018152  7940539
             128       4  402510  662962  4759253  7082197 5325799 2377579 3657016  2727923  4135958  2202044  1827299 4267461  6114306
             128       8  656477 2286447  5122535  8548124 7082197 2784517 4104338  3297617  8036304  2784517  2066432 4934216  7917784
             128      16  499970 1561553  1878447  6114306 5847904 2326073 2843510  2248149  4717434  1852520  1561553 1471662  6406138
             128      32  659704 2409592  5784891  8548124 7476717 1240443 4135958  2905056   609522  3124872  2558895 5122535  8548124
             128      64  231529  857887  6727225  9129573 7917784 3277486 4012317  3468030  5325799  2673584  3036502 3657016  8548124
             128     128  659704 2238774  7082197  9287508 8036304 3277486 4104338  3445772  4596273  3380677  2843510 4934216  8548124
             256       4  453858 1471270  3605511  4332998 3368013 1610276 3275543  2223962  3879045  1805197  1686137 3717869  4929815
             256       8  691930 2266207  5347168  8024634 6936061 2975955 4572895  3705040  6249745  2783115  1206714 2880164  3717869
             256      16  594276 1842366  3994490  5117791 4572895 1871263 3557725  2943325  4929815  2325094   891956 3557725  4840911
             256      32  760006 2285501  4496299  8024634 7314033 3078337 4572895  3605511  5810112  3087188  2435861 3705040  5687020
             256      64  721210 2699161  6107548  8534922 7965107 2371308 4264168  1347557  5810112  3454704  3197509 5217259  8271916
             256     128  729540 2557711  6249745  8024634 7314033 3410808 4422226  3810220  5455847  2943325  3368013 5117791  7791708
             256     256  711178 2486631  7120034  7518900 7314033 3465855 4404088  3511189  4572895  3410808  1591186 5022044  7314033
             512       4  639169 1667552  4650188  6472112 5278892 1655979 3963567  2906696  5019764  2339802  2216629 3481620  5624545
             512       8  736750 2141475  5331314  7647578 6736026 2979282 4742616  3822466  5384786  2768068  2560168 3710197  7513788
             512      16  797489 1954379  3325278  7758090 7022379 2891043 5019764  3963567  5453155  2841317  2681653 5164632  7513788
             512      32  780390 2597325  5699180  6035551 7410080 3459188 5177083  4091959  7988981  2891043  2535981 5278892  5951911
             512      64  717069 2360376  5807059  8109658 5968453 3481620 3556580  3822466  7620440  2708713  2942541 5509113  6018636
             512     128  632765 2116152  4195896  5019764 4827914 2265742 2958758  3795443  7091952  3029721  1783912 5019764  7540170
             512     256  759685 2141475  4030519  5744919 5699180 2625909 4228947  2708713  2725905  2024389  2235086 4375425  2509312
             512     512  794832 2548017  7309196  7435738 7309196 3372274 4927617  2958758  3884698  1882427  2875558 4961773  7410080
            1024       4  542375 2019445  3556008  6355328 5120336 2146618 4044965  2910252  4339202  2295784  1969440 4300102  2950233
            1024       8  707595 1793451  4428688  6128613 2767722 2120127 4700088  3835457  5593820  2592318  2065081 4876180  7008693
