	Iozone: Performance Test of File I/O
	        Version $Revision: 3.420 $
		Compiled for 64 bit mode.
		Build: linux-AMD64 

	Contributors:William Norcott, Don Capps, Isom Crawford, Kirby Collins
	             Al Slater, Scott Rhine, Mike Wisner, Ken Goss
	             Steve Landherr, Brad Smith, Mark Kelly, Dr. Alain CYR,
	             Randy Dunlap, Mark Montague, Dan Million, Gavin Brebner,
	             Jean-Marc Zucconi, Jeff Blomberg, Benny Halevy, Dave Boone,
	             Erik Habbinga, Kris Strecker, Walter Wong, Joshua Root,
	             Fabrice Bacchella, Zhenghua Xue, Qin Li, Darren Sawyer,
	             Vangel Bojaxhi, Ben England, Vikentsi Lapa.

	Run began: Sat Oct  5 00:00:36 2013

	Auto Mode
	Command line used: iozone -a
	Output is in Kbytes/sec
	Time Resolution = 0.000001 seconds.
	Processor cache size set to 1024 Kbytes.
	Processor cache line size set to 32 bytes.
	File stride size set to 17 * record size.
                                                            random  random    bkwd   record   stride                                   
              KB  reclen   write rewrite    read    reread    read   write    read  rewrite     read   fwrite frewrite   fread  freread
              64       4  336889 1279447  3203069  5283570 4018152 1828508 2801873  2067979  4274062  1648808  1392258 2662899  4564786
              64       8  447537 1484662  4018152  6421025 5283570 2133730 3057153  2067979  5860307  1947927  1679761 3057153  4897948
              64      16  438759 1279447  4274062  6421025 6421025 2298136 3203069  2467108  4564786  2006158  2133730 3738358  4897948
              64      32  444572 1638743  4897948  7100397 6271021 2358717 3057153  2467108  4018152  2067979  2772930 3738358  5283570
              64      64  492717 3203069 10402178 1290201712902017 5283570 4564786  4564786  5283570  4564786  3791156 5389653 12902017
             128       4  393656 1152564  3277486  4267461 3536566 1561553 2608629  1878447  2905056  1526043  1377278 3036502  4012317
             128       8  533241 1727352  4407601  6406138 5545860 2367096 3560017  2843510  6406138  2132084  1827299 4012317  5847904
             128      16  546819 1749872  4135958  6406138 5847904 2464907 3468030  2843510  5122535  2286447  1939522 3536566  6406138
             128      32  571257 1878447  4135958  6406138 6114306 2673584 3657016  2905056  4407601  2571150  2175277 3468030  4934216
             128      64  848397 1878447  6727225 1284205110567140 3895854 4407601  4934216  7582312  1000121  4444086 5122535  9129573
             128     128  870405 1152564  9977956 1284205110779307 4759253 4934216  4717434  5325799  4557257  3445772 5325799 11470204
             256       4  478536 1588832  3654598  4422226 3465855 1591186 3326279  2285501  3654598  1924938  1752173 3717869  4819184
             256       8  559005 1790149  4422226  6249745 5428265 2441400 3994490  3052087  4350555  2261434  1996523 4197489  5971678
             256      16  204490 3114048  4572895  8534922 5455847 3159869 4132864  2533571  8534922  2509882  2285501 4422226  8024634
             256      32 1148625 3285566  5569035 1516462414164395 5971678 5938650  6891544  9114515  4197489  3717869 5217259 14164395
             256      64 1173737 2872459  7120034 1709624914953435 6719046 5455847  7735574  4819184  5347168  4422226 5320671 12812277
             256     128  810490 3705040  7735574 1516462413625180 6398720 5217259  4197489  7314033  3705040  5938650 5687020 12812277
             256     256  794889 2607399  8024634  6107548 5217259 3043436 2392442  2371308  3654598  5717301  2325094 3159869  4929815
             512       4 1089094 1368865  3409755  4061007 3304808 1571169 2768068  1961520  2841317  1547395  1484293 3122224  3762197
             512       8  594573 1977778  4650188  6018636 5331314 2381315 4163357  3012719  4340054  2265742  2609952 5115422  7334159
             512      16  641651 2039772  4571003  6086873 5566231 2613128 4296637  3064306  4420457  2327124  2178404 5398323  7540170
             512      32  620694 2150051  4784885  6086873 5807059 2826358 5164632  4163357  6086873  3145087  2860238 5439343  7540170
             512      64  798972 2575520  5822804  8018812 7647578 3710197 5278892  4340054  8140399  3284589  2879414 4571003  6174377
             512     128  644733 2265742  4305250  4973263 4742616 2370799 1834193  1484293  3459188  1662389  2922519 5115422  7540170
             512     256  613075 3768799  7988981 1242715712215097 5870558 5566231  6246213  8140399  4305250  4163357 5744919 12499490
             512     512 1160923 2225819  3849877  5886650 5744919 2739816 3788747  2256220  4532414  2753870  2535981 4571003  5886650
            1024       4  446193 2398343  4805258  7699755 6364746 2737730 4339202  3863055  5991815  2753527  2432298 4898425  8246774
            1024       8 1276817 3425544  6364746 1442204512173747 4949226 5536137  7054742  8542002  2892612  2993413  311527  4470172
            1024      16  847834 2950233  6529233 13643232 9855234 3894582 5444898  7269678  7537599  4060261  4064103 5564829 13305116
            1024      32 1144163 3472628  5601115 1326402611018226 4614246 4762630  7101400  7590887  4943530  3696803 5169641 13142265
            1024      64 1399100 3735385  4356809  9743447 7631350 3778101 5564829  7883484 10230845  4949226  1893052 6093831 14230902
            1024     128  615077 2245375  4392454  4926518 4826859 2421329 4493556  3483896  5277632  2197132  2450338 4614246  5917516
