	Iozone: Performance Test of File I/O
	        Version $Revision: 3.420 $
		Compiled for 64 bit mode.
		Build: linux-AMD64 

	Contributors:William Norcott, Don Capps, Isom Crawford, Kirby Collins
	             Al Slater, Scott Rhine, Mike Wisner, Ken Goss
	             Steve Landherr, Brad Smith, Mark Kelly, Dr. Alain CYR,
	             Randy Dunlap, Mark Montague, Dan Million, Gavin Brebner,
	             Jean-Marc Zucconi, Jeff Blomberg, Benny Halevy, Dave Boone,
	             Erik Habbinga, Kris Strecker, Walter Wong, Joshua Root,
	             Fabrice Bacchella, Zhenghua Xue, Qin Li, Darren Sawyer,
	             Vangel Bojaxhi, Ben England, Vikentsi Lapa.

	Run began: Sat Oct  5 02:26:21 2013

	Auto Mode
	Command line used: iozone -a
	Output is in Kbytes/sec
	Time Resolution = 0.000001 seconds.
	Processor cache size set to 1024 Kbytes.
	Processor cache line size set to 32 bytes.
	File stride size set to 17 * record size.
                                                            random  random    bkwd   record   stride                                   
              KB  reclen   write rewrite    read    reread    read   write    read  rewrite     read   fwrite frewrite   fread  freread
              64       4  372410 1210227  3203069  5283570 4018152 1722886 2772930  2006158  4564786  1518251  1452528 2561267  4274062
              64       8  470274 1304314  4018152  5735102 4564786 1638743 2772930  1879725  4564786  1599680  1421755 3363612  5283570
              64      16  496362 1421755  3958892  5389653 5860307 2133730 3022727  2298136  4564786  1690338  1679761 4018152  9006179
              64      32  520419 1562436  4897948  7100397 4897948 1879725 3022727  2067979  3738358  2006158  2561267 4018152  6421025
              64      64  457452 1599680  4988978  6271021 5860307 2358717 3203069  2298136  3541098  2133730  1780008 3588436  5283570
             128       4  452366 1306873  3657016  5122535 4267461 1689305 3053774  2132084  3277486  1663139  1778862 4135958  6114306
             128       8  538051 1598754  4104338  5784891 5325799 2132084 3468030  2166499  6045455  1939522  1684006 4717434  8036304
             128      16  442668 1539168  2027414  5122535 4557257 1802755 3277486  2660335  4934216  2132084  1504659 3124872  4557257
             128      32  540217 1705404  4135958  6114306 5847904 2499332 3867787  2727923  4407601  2420455  1705404 3759450  5545860
             128      64  513847 1827299  4267461  6406138 1802755 2286447 3106789  2248149  4135958  2140585  2608629 3895854  5545860
             128     128  563463 1885042  5325799  6727225 5847904 2558895 3053774  2132084  4444086  2558895  1705404 4012317  5847904
             256       4  582983 1673001  4404088  6761355 5347168 2097948 3810220  2754556  4404088  2285501  1924938 4264168  6073004
             256       8 1070737 3326279  1437779 1516462412090911 4840911 2639446  4009406  3823789  2030503  3123106 5455847  1629830
             256      16 1230218 3605511  6398720 1583556912228612 5022044 5540300  6595234  9518507  4572895  4054829 6107548 13454450
             256      32  485898 1076103  2726577  6107548 5810112 2557711 4197489  2935279  7518900  2842047  2783115 2371308  7518900
             256      64  609455  947860  4281170  3499745 4819184 2210228 3285566  1894373  4819184  2639446  1453348 4496299  6249745
             256     128  585845 2015259  5242734  6073004 2692393 2639446 1319408  2371308  4496299  2223962  3275543 3717869  4929815
             256     256  759469 2607399  7314033  7314033 7314033 3326279 4840911  3368013  5117791  3326279  2975955 4929815  7518900
             512       4  373423 1455126  3533174  4262523 3437042 1201856 3029721  1848401  2942541  1441452  2132967 4522868  6174377
             512       8  449941 1848401  5331314  7647578 6736026 2613128 4742616  3556580  5509113  2497638  2357784 5177083  7540170
             512      16  767834 2370799  5164632  7758090 7115451 2235086 4237291  3762197  5453155  2725905  2521095 3299730  7540170
             512      32  639930 2497638  2625909  7900804 7309196 3201349 2135087  3822466  2910635  2926501  1683237 4457157  3366987
             512      64  739032 2535981  5278892  4411377 7540170 3459188 4494470  3140488  5331314  2007358  2350044 4494470  6174377
             512     128  644153 2097550  4973263  4973263 4732165 1723770 3604335  3099691  4973263  2722449  2613128 4457157  5886650
             512     256  788992 2497638  5744919  7309196 7115451 3220553 2725905  3580298  6104175  2047551  3409755 4973263  7309196
             512     512  647260 1270846  4701087  2681653 4690818  358343 4123387  2509312  5639315  4340054  3736016 5624545 10044089
            1024       4  629409 1889720  3200886  6364746 3684119 1028043 4433259  4033569  6640274  2875184  2331932 3481072  4531485
            1024       8 1206178 3401130  3849207 1386342211645609 4451639 5751117  6317933 10429596  4300102  3866533 3951918 12944224
            1024      16 1281389 3618930  4832290 1330511612348754 3579719 5758828  6208343  8199542  4374559  3764854 6163794 13142265
            1024      32 1120288 3458646  6692005  705474212983353 5363307 5390231  6963241  9655828  5024495  4146499 6364746 13472053
            1024      64  625559 1950656  5120336  8000971 7644933 3458646 4949226  4126579  6559147  3037876  2730767 4805258  7811791
            1024     128  631723 1750329  4832290  6025439 5821271 2710090 5120336  4079544  6559147  2478620  2837198 5096034  7524394
            1024     256  682628 2077065  4674510  5720477 5690162 2600164 4374559  2782064  5144870  2584518  3003881 5018624  5226256
            1024     512  654241 2133821  4287225  4762630 4741598 2150918 3083680  2286009  4810640  2279941  3835457 4570058  7369466
            1024    1024  624014 2128533  4898425  5507740 4805258 2155236 3414650  2632033  5096034  3261656  2598591 3852659  4826859
            2048       4  424806 1501525  3894239  3297725 3126106 1407538 4071433  2455104  4063729  1878893  1722187 4293237  4864597
            2048       8  629769 1883837  4490751  7311791 6717153 2595298 4839929  3165272  4720248  2314219  2813783 5535444  9062970
            2048      16  956477 3160613  4403275  9708272 9441504 3519302 5719737  4432815  7059413  3513544  3256469 5159722  9389900
            2048      32  586311 2153510  4594025  5816563 4807425 1961707 5225638  4048407  5836323  2852087  2076967 4666399  5852228
            2048      64  554089 2418469  4983122  6851089 6114678 3395491 5009275  4204968  6207471  2929912  2506688 4204968  6303124
            2048     128  830442 2458618  3489282  6807652 7065219 3219850 3604966  3142115  5953632  2522144  2111168 4633675  4172290
            2048     256  572555 2670330  5131978  5800851 7088541 3325815 4945823  3175804  7529708  2892423  2100328 4120256  5517666
            2048     512  570767 2029850  4686767  6967792 4432815 1937809 3777778  2298737  5332694  2090107  2260624 3962502  6440169
            2048    1024  838631 2306143  3690142  5769681 5068389 2238241 4063729  2994254  4601407  2676988  3261415 4521480  4293237
            2048    2048  664917 2190300  4063729  4707314 4699588 3047366 4783331  2980747  4864597  2160551  2179187 4886737  4591569
            4096       4  832688 2874423  2972395  2763900 2899161 1282002 2803592  1495357  2769246  1623529  1385159 2914902  2497507
            4096       8  755298 1587523  4376138  2491350 3427196 1280378 4179197  3413576  4288742  2040896  1932101 4112175  4095510
            4096      16  531542 2237018  5081590  5151685 5988509 2271626 3782607  2208264  3596518  2249320  2129963 4958393  4395170
            4096      32  566996 1859332  6207035  6769576 9124610 4352854 5093643  6605595  6094733  3133979  3332786 6263611  7061751
            4096      64  542519 2552044  5178081  4602401 6379914 2884074 4079948  2209116  3901141  1759546  2396810 4348447  4325455
            4096     128  526944 3131124  4404184  5826043 6151473 3205315 5265366  5265366  4654774  2522443  1606224 4370571  5133213
            4096     256  548477 1509813  3530734  3618486 3340563 1802940 3442303  2274332  4128976  1556174  1854315 3305851  3615440
            4096     512  753906 1934930  3281854  3853020 4136930 1457056 4099419  2529871  6780263  2473416  2311357 5151685  5411313
            4096    1024 1160660 1594300  3916259  3918939 3605576 1748265 3621537  2219103  4038705  1726133  1846740 4432592  3771811
            4096    2048  801419 1382818  3396704  3287506 3558525 1714591 3321831  1657519  4289813  2105942  1954299 2526895  3611639
            4096    4096  742566 1353618  2864359  2813233 2685695 1455081 2747106  1346933  3052133  1473932  1658960 2736168  3175103
            8192       4  473282 1260315  3198692  3239099 2474094 1018011 2698308  1739662  2619719  1166286  1167435 3180042  3078607
            8192       8  667428 1478168  4077433  3343751 3135068 1423659 3705031  2380009  3541581  1503655  1163482 6122759  6182248
            8192      16  534475 1551243  4836126  4953250 4832725 2337269 3392279  2220079  3623372  1948073  1436455 3440513  2825681
            8192      32  650520 1552715  3455043  3354524 3394960 2088127 3760997  2336474  3944043  1537293  1577523 1918487  3671773
            8192      64  503625  634800  3735645  3487658 3211248 1429701 3715045  2563049  3466546  1542468  1430415 3518732  3138791
            8192     128  495020 1818475  3740525  4027724 4175543 2336474 3511540  2617125  3406404  1388451  1486481 3439135  3147128
            8192     256  600235 1697464  3477070  3307062 3233004 1585092 4047176  2905979  3847758  1914959  2326507 3165394  3566579
            8192     512  843498 3212750  3730372  3283361 3554036 1671778 3830173  2465218  6895660  2254308  1662395 3645670  3455043
            8192    1024  720740 1688372  3085518  1744166 3789200  900511 5244315  6439465 11055948  2804463  1721360 3439135  3546333
            8192    2048  709138  388321  4838169  5502130 5001558 3121964 4586921  1616107  4875931  2417859  1786703 4469381  4250966
            8192    4096  514222 1442970  2897647  2456406 3327560 1841377 2798752  1574127  2634786  1507283  2182290 3013799  3229054
            8192    8192  718795 1771594  3065697  3110096 4043365 2254900 3043160  1526366  2783561  1559197  1425667 2755655  2773226
           16384       4  634870 1180649  3360726  3335604 3127905 1602195 2861784  1994423  4314976  2123081  1447463 3181485  4262252
           16384       8  648457 1511287  3815458  3687496 2976827 1122870 3420444  3332692  3850519  1248790  1003734 3246261  3314688
           16384      16  904634  981373  3597726  3667032 3365664 1602195 3105430  3221909  3316608  1393796  1465865 3904558  4157306
           16384      32  579780 2406244  3381064  3295928 3731954 2531122 3359411  3671734  3771690   758277  1530370 1605040  5694918
           16384      64  626038 1477494  3933839  3640225 3554185 1836790 3500058  2749020  4807304  2261118  1641344 2860831  4532108
           16384     128  596695 1965952  2500999  3613618 3512761 1669455 3257185  2523685  3399126  1517327  1581765 3374754  4791883
           16384     256  666423 1733204  3516716  3549412 3473346 1893630 3665272  2462639  4690491  2050543  1638760 5110468  5058181
           16384     512  642233 1614201  2538227  5475740 5317690 2376947 3342418  2405823  4578915  2305650  1440484 3493297  4772581
           16384    1024 1323314 2503733  3612098  3641576 3611149 1449906 3864160  3378903  4624209  1240472  1595351 3567840  3466163
           16384    2048  558455  475725  3268806  3216329 2877361 2122818  928167  2293033  5472251  1917834  1712899 3671931  2763391
           16384    4096  978550 1808797  3695826  3785611 3857652 2491478 3751717  2557212  3688288  2295254  2351972 3650668  3727096
           16384    8192  988658 2270831  3581974  3416193 3534806 2284419 1266746  1219602  2565231  1737235  1920514 3013905  3084937
           16384   16384  807089 1452204  3187536  3098290 2993685 2036808 2741672  2113222  2555215  2006888  1476574 3050564  3468962
           32768      64  699094 1684304  2436826  3352267 4693183 3325741 3019255  5624490  3164768  1925729  3065862 3403739  3594227
           32768     128  705644 2795417  3453690  3245939 3576456 2137105 5369169  2554209  3394241  2110134  1572963 3536425  3887089
           32768     256  960119 1448512  3962740  4392591 4135765 2630269 3421193  5325480  4469151  2578553  1339994 3302248  3508350
           32768     512  738884 2245154  4433542  3416856 3984453 2262041 4189853  5026512  5100758  3060741  1809197 3568007  3584291
           32768    1024 1239564 1680926  4365662  4541063 4495611 2601443 3542076  4547976  3328077  1392663  1736506 3408297  4381389
           32768    2048  893175 1428103  2958742  3434445 3607624 2607464 3037740  2647700  3029905  1474306  1267772 3891271  2706300
           32768    4096  852023 1688899  2863800  3036868 3199990 1908667 2713728  2101872  2914509  1587278  1610698 2339593  2960846
           32768    8192  634646 1519858  3230603  3212556 3635296 2144909 3242417  1920643  2176429  2121567  1530146 2481080  2935675
           32768   16384  789244 1905016  3041438  2946753 3087835 1653186 2684155  2631578  3800140  2119407  2154087 3069902  3815119
           65536      64  803847 2667634  4720570  3524943 3665732 3233789 3445629  4043939  4188883  2787107  1784020 4110889  4546306
           65536     128 1206855 3301725  3398807  4332688 4495523 3276927 2180034  3429551  3572403  1417760  2586360 3213976  2565719
           65536     256 1188559 2897911  3576726  5270726 5525316 3519076 3422591  3694853  3565823  2312078  1893948 4461810  2990182
           65536     512  937996 2090122  4080922  5028517 5558163 3549385 3566979  4839842  4860638  2878549  2169555 3315904  5065398
           65536    1024 1028142 2161910  3510985  3526661 4354859 3206889 3333962  3654668  4258120  1922212  1648998 3612593  5239881
           65536    2048 1053124 2189044  3409938  3619586 3502708 2368048 3349114  2827502  1913461   857185  1345160 3061996  3254656
           65536    4096  880421 1863240  2681400  3982017 3715429 2510580 3340282  2895072  4008321  1607691  1334042 2696155  3756506
           65536    8192  927207 1626123  3016068  1935326 3108465 1975225 3684453  2191767  2608820  1619741  1718343 1398038  3568507
           65536   16384 1214415 1765231  2920883  3824026 3804706 2512507 3149712  2429413  2312253  2034462  1988528 2773188  3222491
          131072      64  901761  410056  4846105  5322304 4155347 2523913 3478832  7668214  3808919  2096785  2152707 5806351  5706957
          131072     128 1073639 1861415  4805229  5581061 5395274 2740150 3171513  7320043  5783992  2746118  2738880 3270841  5202926
          131072     256 1021995 2600279  4566806  5655760 5627796 3064792 2980468  6868186  4162993  2740150  2298302 3915505  4079432
          131072     512 1210815 2053835  5374913  3958557 5000425 3095196 5029796  5428517  5248325  2082654  2248041 3639879  5653085
          131072    1024  945815 2162870  4677984  3945687 3412072 1852527 5679776  3968387  4447617  1438926  1462284 3655417  5119588
          131072    2048  827286  497585  3998171  3260172 3268138 1658404 3567762  3164393  2040411   366054  1038309 3645745  4655207
          131072    4096  974803 1967427  3099664  2812470 2511724 1858521 2414823  1656600  3353154  1814442  1541712 3385554  3418415
          131072    8192  951526 1843897  3033858  4058981 3987470 2248114 3467773  2651242  3286582  1599844  1419831 3738823  3272554
          131072   16384  916486 1990341  3797867  3273840 3155692 1591240 3067802  2743582  3438492  2002506  1740020 3564939  4044558
          262144      64  120518   90664  4421234  4846443 4744534   67577 2182242  7410615  4208241   126811   112432 1783026  4922338
          262144     128  148823  162183  4041077  5026527 3996468  111745 3637204  7264992  3226864   113714   129242 5114297  4297438
          262144     256  124625   66513  5103946  5082571 5472853   94714 2762260  6502722  4181657   117192    97544 4384493  5555198
          262144     512  124764  113130  4889830  4731161 5628914   79388 2102735  6787452  5067135    93910   115288 4954343  4589525
          262144    1024  127110  107857  4490995  3211999 3713828  157914 4409921  6536782  4597239   122012   123710 4434698  4609612
          262144    2048  118798   95981  2611227  4682901 4635850  108596 1366252  3345979  3894119   116514    86399 3845672  4110895
          262144    4096  116618  107447  3536990  3539039 3840822  122443 3326824  2448453  3627340   125827   126246 2760422  3557969
          262144    8192  122080  114217  3331855  3671024 3438447  120577 1657723  2729069  3707942   113402   126427  643659  3708254
          262144   16384  110681  115056  3336435  3675749 3430979  112970 2863178  2680710  3695442   129245   125223 2806861  3502869
          524288      64   25852   65762  5235236  5635503 5178963   15125 5297130  5740768  5882811    82810    85301 5732433  5031562
          524288     128   46190   63018  5454118  5266051 5645704   20989 4826326  7469665  4072229    79294    48057 4507055  5907925
          524288     256   48643   36920  5075096  5376929 5103056   25329 2776948  5512554  4860097    70921    76005 5183016  5003229
          524288     512   73718   36094  4927840  5494236 5603523   36471 4728169  6884128  5689378    77349    46440 5033819  4399420
          524288    1024   50662   67721  4822632  5412396 5602267   58573 5385435  3917447  4154220    66722    48921 3988652  5045114
          524288    2048   72785   37940  3406899  3201019 2748559   43686 4197996  3462544  3116976    76342    58844 3690975  4382656
          524288    4096   75959   36747  3660641  4096222 3426920   63225 3584922  2544951  3098591    61826    54263 3433898  3707940
          524288    8192   52923   37964  3544234  3784132 3829937   79958  990620  2633066  3260537    81264    57551 3190380  2732758
          524288   16384   65680   71715  3285548  3320760 3352610   48778 1609296  1852018  2571124    63095    83976  679671  3476734

iozone test complete.
