	Iozone: Performance Test of File I/O
	        Version $Revision: 3.420 $
		Compiled for 64 bit mode.
		Build: linux-AMD64 

	Contributors:William Norcott, Don Capps, Isom Crawford, Kirby Collins
	             Al Slater, Scott Rhine, Mike Wisner, Ken Goss
	             Steve Landherr, Brad Smith, Mark Kelly, Dr. Alain CYR,
	             Randy Dunlap, Mark Montague, Dan Million, Gavin Brebner,
	             Jean-Marc Zucconi, Jeff Blomberg, Benny Halevy, Dave Boone,
	             Erik Habbinga, Kris Strecker, Walter Wong, Joshua Root,
	             Fabrice Bacchella, Zhenghua Xue, Qin Li, Darren Sawyer,
	             Vangel Bojaxhi, Ben England, Vikentsi Lapa.

	Run began: Sat Oct  5 08:41:19 2013

	Auto Mode
	Command line used: iozone -a
	Output is in Kbytes/sec
	Time Resolution = 0.000001 seconds.
	Processor cache size set to 1024 Kbytes.
	Processor cache line size set to 32 bytes.
	File stride size set to 17 * record size.
                                                            random  random    bkwd   record   stride                                   
              KB  reclen   write rewrite    read    reread    read   write    read  rewrite     read   fwrite frewrite   fread  freread
              64       4  383038 1279447  3363612  5860307 4274062 1780008 2298136  1638743  3738358   998622  1279447 2772930  4564786
              64       8  451299 1484662  4274062  7100397 5283570 2133730 3203069  2379626  5283570  1828508  1780008 3203069  4564786
              64      16  454354 1484662  4897948  7940539 5860307 2203800 3057153  2052169  4564786  1879725  2006158 3791156  5860307
              64      32  463774 1599680  4564786  7100397 6421025 2358717 3203069  2561267  3958892  2067979  2278628 3791156  4988978
              64      64  447537 1734015  6421025  7940539 6421025 2561267 3363612  2467108  3203069  1933893  1599680 3588436  4988978
             128       4  462100 1406136  3759450  5325799 4135958 1878447 3053774  2286447  3468030  1772988  1504659 3560017  4759253
             128       8  501839 1684006  4407601  6114306 5325799 2211113 3445772  2784517  6114306  1997245  1755594 3982553  5847904
             128      16  518312 1705404  3982553  6406138 6114306 2409592 3468030  2784517  4717434  2211113  1827299 3785961  5784891
             128      32  535368 1858934  4267461  6406138 6406138 2673584 3560017  2453642  3759450  2166499  2132084 3982553  5784891
             128      64  542400 1911894  4557257  6727225 6406138 2727923 3560017  2367096  4557257  1827299  2843510 4135958  6114306
             128     128  586868 1997245  5545860  7176872 6045455 2714132 3895854  2727923  4267461  2727923  2248149 3982553  5325799
             256       4  471393 1600674  3823789  5022044 4070199 1924938 3245838  2413957  3465855  1829808  1660068 3654598  4652146
             256       8  550409 1924938  4422226  6107548 5428265 2371308 4070199  3009318  4264168  2118645  1924938 4332998  5938650
             256      16  545931 1956506  3935921  6107548 5569035 2533571 4197489  3009318  5117791  2266207  2061693 3823789  5687020
             256      32  568777 2049885  4422226  6595234 5971678 2812272 3654598  3123106  3823789  2061693  2371308 5320671  7735574
             256      64  581719 2081678  4652146  6761355 6107548 2812272 4404088  3159869  4755158  2812272  2392442 4117018  6073004
             256     128  753077 2509882  4907284  6213578 5810112 2911402 3823789  2563818  3879045  2114473  3159869 4197489  5938650
             256     256  768712 2148318  5687020  5938650 5569035 2783115 4132864  2747508  4422226  2747508  2486631 4496299  5841722
             512       4  449564 1625889  3934520  5067142 4099771 1910902 3388236  2449212  3504346  1662389  2124526 4447925  6018636
             512       8  553502 1933266  4650188  6035551 5278892 2381315 4099771  3086326  4305250  1842059  2063289 3849877  4742616
             512      16  955368 3012719  5331314 10235583 9510316 4271001 5699180  5331314  6491676  3849877  3437042 5744919 10044089
             512      32  616950 1312798  4571003  5886650 3736016 2722449 4305250  3196584  4610256  2135087  2768068 4838792  7309196
             512      64  627587 2089386  4131319  5019764 4784885 2317080 5227492  4271001  5886650  3239989  3046915 5278892  7513788
             512     128  610982 2124526  4732165  5822804 5624545 2416145 4296637  3122224  4030519  1667552  3304808 5164632  7309196
             512     256  605299 1862832  4827914  5624545 5495016 2768068 4271001  1990612  4973263  2198475  3580298 4375425  4411377
             512     512  641651 1983258  4610256  4742616 4650188 1985091 4262523  2750343  4447925  2427068  2544997 5019764  7211022
            1024       4  492779 1935711  4249053  5479632 5120336 2207295 4079544  3085895  4392454  1103308  2150918 4079544  5917516
            1024       8  549031 1430318  4594502  6059442 5194651 2353657 4162573  3189002  5065980  2216407  2056183 5120336  7319232
            1024      16  593899 2019445  5226256  7356843 6830356 3140041 5048117  4114719  5330028  2867506  2632033 5310258  7269678
            1024      32  605965 2216407  4720752  6016997 3643490 2681328 4249053  4228138  5958564  3029305  2789291 5390231  7524394
            1024      64  363247 2900425  3863055  7869040 7577494 3668386 5277632  4415030  6479979  3200886  2926114 5536137  6733974
            1024     128  614285 2572135  5417427  7577494 7319232 3671521 4433259  3447541  4374559  2102484  2155236 4146499  5853003
            1024     256  792604 2737730  3403826  7160597 7101400 3345496 4654248  3506651  6776473  3345496  3074849 4898425  5751117
            1024     512  642785 2216407  5018624  4832290 4700088 2270300 4356809  2960401  4920874  2480051  3567824 5065980  7208671
            1024    1024  627020 1766163  5720477  5917516 5853003 2225595 4507705  2783867  2789291  2716948  2578312 4493556  5782087
            2048       4  463248 1581414  4686767  6171791 5119743 1986660 4130162  3155969  4405533  2133718  2151353 3977179  5754221
            2048       8  532220 1899669  5359311  7393606 6543188 2622235 4720248  4008732  5389574  2639154  2408974 5172149  6917293
            2048      16  549621 2128958  4623699  5868220 5461535 2072957 4367454  2497941  4276140  2214011  2691246 5306340  7106133
            2048      32  583008 2153510  5433896  7419150 6690992 3374151 4531020  2190300  4741090  2283460  1954120 5403134  7343043
            2048      64  567299 2467091  5172149  7616502 7013303 3671217 4686767  4502520  6340344  3126106  2875960 4764758  5521212
            2048     128  826845 2771120  5277002  5611381 7393606 3657149 5032754  4453499  8531869  2653011  2756005 5209791  7318020
            2048     256  580840 2779189  5131978  6945257 7183386 3494960 4945823  4122233  7477273  2990085  2860636 4983122  6851089
            2048     512  572364 2214011  5389574  7013303 6401772 3297725 4994712  3828288  5689430  3200654  3034448 4338776  5056455
            2048    1024  830121 2160551  4864597  5389574 4340969 2167092 3892474  3624742  4572018  2450202  3282603 4257067  5290001
            2048    2048  520987 2450202  5489457  5430461 5403134 2876923 4451191  2790021  3814687  2052157  2694623 4441984  5336007
            4096       4  459922 2015752  4491697  4560858 4423462 1850918 3977000  3187474  3615440  2089803  2615371 3644585  3207709
            4096       8  503383 1906162  3897601  4218190 3376675 1523739 4357270  4128976  3571100  1648928  1841791 4257917  4257917
            4096      16  553817 1849324  4262142  4348447 3713919 1824577 4796426  4116116  4934183  2640698  2458549 5036894  4910209
            4096      32  692462 2133136  3901141  4253700 4386193 1893556 3667146  2488463  3934195  1683507  2587405 3768502  4063542
            4096      64  585727 2691164  5062125  5611025 4284464 2743596 5312585  8017464  5953231  3628421  3647681 5657217  6897314
            4096     128 1075031 3782607  5926533  6735075 7683972 4487004 5565581  7642951  7545601  4280194  2279462 5184332  5447345
