	Iozone: Performance Test of File I/O
	        Version $Revision: 3.420 $
		Compiled for 64 bit mode.
		Build: linux-AMD64 

	Contributors:William Norcott, Don Capps, Isom Crawford, Kirby Collins
	             Al Slater, Scott Rhine, Mike Wisner, Ken Goss
	             Steve Landherr, Brad Smith, Mark Kelly, Dr. Alain CYR,
	             Randy Dunlap, Mark Montague, Dan Million, Gavin Brebner,
	             Jean-Marc Zucconi, Jeff Blomberg, Benny Halevy, Dave Boone,
	             Erik Habbinga, Kris Strecker, Walter Wong, Joshua Root,
	             Fabrice Bacchella, Zhenghua Xue, Qin Li, Darren Sawyer,
	             Vangel Bojaxhi, Ben England, Vikentsi Lapa.

	Run began: Sat Oct  5 15:37:53 2013

	Auto Mode
	Command line used: iozone -a
	Output is in Kbytes/sec
	Time Resolution = 0.000001 seconds.
	Processor cache size set to 1024 Kbytes.
	Processor cache line size set to 32 bytes.
	File stride size set to 17 * record size.
                                                            random  random    bkwd   record   stride                                   
              KB  reclen   write rewrite    read    reread    read   write    read  rewrite     read   fwrite frewrite   fread  freread
              64       4  380864 1255511  3203069  4897948 4018152 1780008 2772930  1991276  4564786  1518251  1460430 2444640  3958892
              64       8  426219 1492919  4274062  7100397 5389653 2067979 3406295  2561267  5283570  1768283  1492919 3022727  4564786
              64      16  491815 1722886  4018152  6421025 5735102 2203800 2561267  1933893  3588436  1599680  1947927 3541098  4897948
              64      32  481234 1638743  4274062  5860307 6421025 2278628 2662899  2067979  4018152  2006158  2358717 3057153  4988978
              64      64  492717 1679761  4897948  6421025 6421025 2467108 3203069  2358717  3791156  2133730  1879725 3791156  5860307
             128       4  398921 1455701  3124872  4267461 3380677 1526043 2511022  1827299  3359523  1684006  1504659 3468030  4596273
             128       8  643108 1663139  4267461  6045455 5325799 2248149 3560017  2784517  5122535  1663139  1732927 4135958  6045455
             128      16  677178 2098744  4759253  7082197 7582312 2969325 4012317  3536566  5784891  2727923  1561553 3867787  5603747
             128      32  563463 1778862  3982553  6406138 6406138 2511022 3560017  2843510  4407601  2453642  2066432 3759450  5847904
             128      64  535368 1885042  4135958  5847904 5122535 2132084 3657016  2843510  5122535  2066432  2286447 3867787  5325799
             128     128  703810 2409592  1209698  5603747 2367096  160990 3359523  1421023  3895854  2098744  1905110 4135958  5847904
             256       4  609455 1802167  4496299  6249745 5117791 2435861 3935921  3087188  4350555  2266207  2000242 4264168  5938650
             256       8  589706 1729594  4332998  5938650 5347168 2310087 3935921  3017775  4197489  2061693  1911233 4132864  5841722
             256      16  598249 1354356  2285501  6107548 5687020 2458168 3557725  1463250  6398720  2228578  1956506 3756894  5717301
