	Iozone: Performance Test of File I/O
	        Version $Revision: 3.420 $
		Compiled for 64 bit mode.
		Build: linux-AMD64 

	Contributors:William Norcott, Don Capps, Isom Crawford, Kirby Collins
	             Al Slater, Scott Rhine, Mike Wisner, Ken Goss
	             Steve Landherr, Brad Smith, Mark Kelly, Dr. Alain CYR,
	             Randy Dunlap, Mark Montague, Dan Million, Gavin Brebner,
	             Jean-Marc Zucconi, Jeff Blomberg, Benny Halevy, Dave Boone,
	             Erik Habbinga, Kris Strecker, Walter Wong, Joshua Root,
	             Fabrice Bacchella, Zhenghua Xue, Qin Li, Darren Sawyer,
	             Vangel Bojaxhi, Ben England, Vikentsi Lapa.

	Run began: Sat Oct  5 17:46:25 2013

	Auto Mode
	Command line used: iozone -a
	Output is in Kbytes/sec
	Time Resolution = 0.000001 seconds.
	Processor cache size set to 1024 Kbytes.
	Processor cache line size set to 32 bytes.
	File stride size set to 17 * record size.
                                                            random  random    bkwd   record   stride                                   
              KB  reclen   write rewrite    read    reread    read   write    read  rewrite     read   fwrite frewrite   fread  freread
              64       4  331891 1210227  3203069  5860307 4018152 1722886 2772930  2006158  4564786  1484662  1232453 2561267  4274062
              64       8  450541 1279447  3588436  5283570 4643754  703068 3057153  2006158  4988978  1599680  1255511 3363612  5283570
              64      16  402569 1460430  4643754  7940539 5860307 2133730 3588436  2467108  4274062  1722886  1991276 3791156  6421025
              64      32  420873 1526887  4564786  7100397 6421025 2278628 3203069  2379626  3363612  1828508  1933893 3541098  5283570
              64      64  477808 1518251  4897948  7940539 6271021 2467108 1484662  2444640  4274062  2467108  1991276 4018152  7100397
             128       4  434078  650117  4012317  5545860 4407601 1778862 3380677  2714132  4407601  2098744  1852520 4267461  6114306
             128       8  587511 2238774  4934216  7917784 7082197 2784517 3895854  2621367  6406138  1967960  1254941 3867787  5603747
             128      16  584950 1684006  1967960  5603747 4759253 1939522 3277486  2286447  4759253  2211113  2027414 3277486   819893
             128      32  595328 2004703  4267461  5545860 5122535 2058509 3053774  2377579  3759450  2058509  2098744 3380677  4717434
             128      64  515822 2511022  5603747  9795896 7917784 3380677 4267461  3657016  5325799  2248149  3657016 5122535  8548124
             128     128  448961 2367096  7082197  9129573 7917784 3277486 4557257  3380677  4717434  3359523  1858934 4759253  8548124
             256       4  459491 1588832  3810220  5117791 4264168 1855098 2975955  1842366  3557725  1455317  1405778 2975955  4819184
             256       8  541253 1897721  3935921  5217259 4422226 1924938 3511189  2371308  3454704  1694118  1579483 3756894  4496299
             256      16  449865 2030503  4009406  6249745 5841722 1070737 1274008  1306564  5569035  1802167  1952947 4496299  5938650
             256      32  635047 1985448  4132864  5117791 4840911 2118645 3717869  3123106  4755158  2463808  2872459 3114048  7735574
             256      64  554101 1985448  4422226  5347168 5022044 2242541 3756894  3123106  4755158  2097948  2588541 4929815  7965107
             256     128  633922 2114473  1168627  5022044 4840911 1049800 4054829  3017775  5347168  2371308  3043436 4496299  6107548
             256     256  602614 2509882  1884399  7518900 3605511 2509882 4819184  3368013  3245838  3159869  2849590 5022044  7314033
             512       4  666753 1889050  4532414  6246213 5278892 2198475 4000485  2906696  5067142  2081286  1924603 4340054  5760329
             512       8  522399 1854787  4571003  5886650 3710197 2105777 3239989  1185272  4061007  2370799  2427068 3762197  6821616
             512      16  707152 1904125  5115422  7513788 7115451 3064306 4871723  3849877  5453155  2638816  2535981 5067142  7435738
             512      32  555363 1684557  4030519  5019764 4784885 2141475 3081897  2560168  4091959  1917728  2509312 4532414  7410080
             512      64  671129 2587935  5278892  8109658 7647578 3481620 5227492  4163357  6174377  3122224  2584820 4838792  7758090
             512     128  782951 2609952  5699180  7758090 7309196 3527371 5079126  4131319  6086873  2695115  2975154 5115422  7435738
             512     256  840566 2509312  5822804  5566231 7115451 3388236 4701087  3604335  5684095  2830083  3884698 5019764  7211022
             512     512  723105 2307123  7309196  7513788 7334159 3415178 4927617  2991733  5019764  3372274  2995907 5019764  7435738
            1024       4  502405 1523683  3877004  4920874 4014717 1338494 3984917  2877110  4531485  2027069  1592612 4374559  5226256
            1024       8  600879 1414304  4512441  5958564 3414650 1703807 4700088  3863055  5144870  2386350  2343383 4995276  7472033
            1024      16  548190 2443368  3999762  6650556 5623115 2414523 4943530  3239514  5390231  2737730  2364021 3966517  7319232
            1024      32  661496 2111788  2995501  4249053 5751117 2619192 5169641  4064103  5885083  2798378  2240689 4972145  4762630
            1024      64  783352 2625597  5564829  8000971 7699755 3529706  424537  2461573  5120336  2052253  1889720 5144870  7644933
            1024     128  827896 2632033  3606774  7472033 7369466 1910737 4876180  2437821  8061038  2837198  2722114 3345496  4854136
            1024     256  597369 2128533  4033569  4720752 3001782 1983996 4949226  3748425  3951918  2236023  2498809 4789183  7160597
            1024     512  742071 2455943  3722435  7369466 5950309 3314514 4805258  3411938  4805258  2060128  3020783 4898425  7319232
            1024    1024  743613 2625597  7420395  7356843 7472033 3229770 3422814  3048658  4904018  3066069  3003881 4854136  7208671
            2048       4  601459 1793378  3624742  4829046 4923146 2074960 3855782  2327387  4572018  1546953  1568134 3878414  5083385
            2048       8  620220 1804681  3917325  4707314 4957240 1719429 3999400  3880166  5489457  2025543  2124745 4775354  7135648
            2048      16  778722 2126323  4144109  4934459 6583305 2786401 4775354  3126106  3682233  2054120  2167092 4146110  9400176
            2048      32  926657 3180508  4088876  4751580 7159438 4008732 5920802  5582208  6132138  3513544  2781889 5674397  8713618
            2048      64  867774 3329682  5738844  5704543 5184636 3189957 5916724  5949508  7962448  3669648  3470953 5416763  9140117
            2048     128  740141 2540795  5280246  6807652 7213548 3452815 5131978  4444282  8531869  2426668  2365196 4001263  9621281
            2048     256  810080 1856558  3472356  4162181 3953383 2128431 4754210  3821475  7318020  2585923  2172024 4717655  6780783
            2048     512  738804 2556676  5290001  7293167 7343043 2386884 4686767  3828288  6649556  2937929  3060395 3452815  4521480
            2048    1024 1051810 1986660  4889518  5461535 4490751 2144906 3482209  2340705  3643190  1534244  3784436 3871422  4572018
            2048    2048  718834 1760663  6075753  5056455 4686767 3084572 3061485  2619037  4741090  2673655  3034448 4611288  5868220
            4096       4  706705 1864376  3500519  3222752 2996241 1170625 3886139  2854365  3534366  1824383  1158078 3175103  2773270
            4096       8  723551 2204580  3911800  4136930 3394019 1572987 3605576  2444208  3279348  1335001  1579060 3781775  3740604
            4096      16  506813 1491074  4325455  3468014 3679713 1677917 4763181  2198374  3568133  1574718  1486301 4157956  4230655
            4096      32  538523 1407631  3387995  3571100 3088901 1543452 4882301  4205798  4644707  2306392  1620313 4977067  4325455
            4096      64  852818 1948536  4535572  5649775 5389246 2944377 5468151  3038638  5026578  2432442  1159016 4145915  6122971
            4096     128 1404179 3146031  5910222  6978564 7489679 4079948 5625724  8032459  6293440  3564431  3266255 5332372  6649056
            4096     256 1211145 2206846  5007531  3621537 1838440 3864287 5411313  6077484 12334720  1950527  1622762 4083827  3442303
            4096     512  543738 1875366  3660115  3628421 3583764 1823028 3842678  2145658  6649056  2333965  1644351 3143154  3621537
            4096    1024 1038258 2952980  5438722  6967243 5885924 3689988 3450600  1842383  4526013  1688969  3018881 3470816  3329557
            4096    2048  544014 1510343  3059199  2826656 3057021 1588110 3000952  1695302  4087714  2019781  2131020 3067940  2957556
            4096    4096  428984 1951413  3210107  2479484 2850576 1637768 2819234  1093715  1081052   807749  2610602 2798112  4027344
            8192       4  831676 2596557  5354648  5265210 4810398 2453424 4591825  4979812  4390007  2107984  1204683 4536055  4949683
            8192       8  646262 3027341  5633847  3554036 4097857 2144025 3976911  3593060  3705031  1882745  1714146 5271672  5188093
            8192      16 1261842 3154351  4139325  3963149 4023480 1700320 2503659  2060948  2541625  1621904  1527248 4053861  4433053
            8192      32  660487 1858508  3878597  3245831 3481651 1808806 3047749  3100833  2849348  1521836  1346500 5142283  3953573
            8192      64  512290 1646306  3644124  3594563 3468296 1795291 3127933  2768534  3583317  1483017  1661029 3759351  3580330
            8192     128  539231 1649546  3357146  3640649 3449147 1547958 3868117  2809278  3735645  2150197  1648280 3596068  3463751
            8192     256  563923 1397259  3554036  3634487 3575859 1716287 3264953  2609771  3459566  1598141  1613905 3673735  3400672
            8192     512  540334 1583339  3514413  3577348 3400672 1830195 3253514  2446089  4515786  1725336  1579917 2874376  3334017
            8192    1024  497355 1636738   793494  1840883 1976423 3172701 3558822  2426568  6866721  2406008  1279987 2931016  2925775
            8192    2048  490420 1826498  3267748  3456433 3332724 1393180 3022813  1682832  3227840  1927527  1411668 2547278  2974404
            8192    4096  759855 1346447  2624923  2816186 2814110 1497625 2380009  1770864  3257215  1402506  1973018 2500562  2515205
            8192    8192  514862 1307557  3113478  3005363 3072825 1517334 2735254  1576872  2986555  1620604  1620910 2774122  2829637
           16384       4  659528 1188716  2949864  3394257 3255180 1400100 2729258  2380076  3792715  1579329  1217851 3130327  3138620
           16384       8  626849 1379831  3885352  3405527 2894694 1327507 3272230  2485890  3318049  1371487  1541562 3701798  3785611
           16384      16  644274 2563126  3550879  3585150 3349913 1460227 3387898  3498633  3404177  1402272  1680437 3883376  3565618
