	Iozone: Performance Test of File I/O
	        Version $Revision: 3.420 $
		Compiled for 64 bit mode.
		Build: linux-AMD64 

	Contributors:William Norcott, Don Capps, Isom Crawford, Kirby Collins
	             Al Slater, Scott Rhine, Mike Wisner, Ken Goss
	             Steve Landherr, Brad Smith, Mark Kelly, Dr. Alain CYR,
	             Randy Dunlap, Mark Montague, Dan Million, Gavin Brebner,
	             Jean-Marc Zucconi, Jeff Blomberg, Benny Halevy, Dave Boone,
	             Erik Habbinga, Kris Strecker, Walter Wong, Joshua Root,
	             Fabrice Bacchella, Zhenghua Xue, Qin Li, Darren Sawyer,
	             Vangel Bojaxhi, Ben England, Vikentsi Lapa.

	Run began: Sat Oct  5 22:26:20 2013

	Auto Mode
	Command line used: iozone -a
	Output is in Kbytes/sec
	Time Resolution = 0.000001 seconds.
	Processor cache size set to 1024 Kbytes.
	Processor cache line size set to 32 bytes.
	File stride size set to 17 * record size.
                                                            random  random    bkwd   record   stride                                   
              KB  reclen   write rewrite    read    reread    read   write    read  rewrite     read   fwrite frewrite   fread  freread
              64       4  328238 1232453  2923952  6421025 4018152 1734015 2772930  1947927  4274062  1599680  1336792 2467108  4274062
              64       8  424198 1183548  3958892  5735102 4274062  929467 3203069  2444640  5860307  1002351  1722886 3165299  4564786
              64      16  473593 1460430  4564786  8182586 5860307 2133730 2892445  1991276  4274062  1722886  1991276 3203069  4564786
              64      32  470274 1526887  4274062  5860307 5860307 2379626 3203069  2467108  4018152  1734015  2278628 3363612  4897948
              64      64  463774 1638743  4564786  5860307 6421025 2467108 3165299  2358717  3057153  1933893  1562436 3203069  4564786
             128       4  443033 1391557  3657016  4934216 4135958 1827299 3053774  2248149  3359523  1755594  1504659 3560017  3759450
             128       8  612303 1642783  4267461  5784891 5325799 2248149 2905056  2211113  6045455  2004703  1755594 3785961  1332828
             128      16  640042 2035099  4407601  7582312 7476717 2969325 4596273  3445772  6114306  2558895  2132084 3657016  5545860
             128      32  551878 1778862  3867787  6114306 5784891 2511022 3380677  2843510  4407601  2420455  1133103 3785961  5603747
             128      64  547377 1852520  4407601  6812590 5847904 2558895 3657016  1727352  4444086  1967960  2673584 4012317  5784891
             128     128  739689 2367096  6406138  8548124 7176872 3359523 4135958  3380677  4596273  3277486  2608629 4407601  7082197
             256       4  508929 1230218  3705040  4264168 4054829 1766587 3197509  2350543  3499745  2170027  2065659 4332998  6073004
             256       8  552960 1802167  4197489  5810112 5347168 2310087 2842047  2880164  4132864  2135500  1938842 4264168  5810112
             256      16  573946 1805197  3879045  5810112 5569035 2486631 3410808  2975955  5022044  2242541  1707589 4332998  5810112
             256      32  567875 1884399  4652146  6107548 5569035 2639446 3605511  2509882  3935921  2015259  1924938 3823789  5687020
             256      64  576720 2242541  2458168  6398720 5971678 2812272 4332998  3207059  4907284  2754556  2392442 4264168  6107548
             256     128  549283 2000242  4819184  6073004 5687020 2692393 4197489  2911402  3756894  1506359  3197509 4264168  5971678
             256     256  697322 2049885  5687020  5810112 5569035 2665657 4117018  2665657  4264168  2672291  2310087 4404088  5810112
             512       4  593259 1293037  3388236  5067142 4163357 1867692 2995907  1889050  2910635  1510391  1736314 3710197  3815675
             512       8  597551 1795846  4650188  5951911 3029721 2875558 4784885  3822466  5509113  2413429  2521095 5115422  7410080
             512      16  627404 1546280  4610256  6104175 5551840 2449212 4262523  2845081  4457157  2196227  1730717 4610256  5951911
             512      32  649609 1985091  4784885  6086873 5807059 2722449 4331300  3122224  5067142  2391924  2275345 4038098  5951911
             512      64  678122 2124526  4838792  6319739 6035551 2739816 4494470  3220553  5019764  2524058  2368185 4690818  6174377
             512     128  688118 2089386  3913012  6018636 5744919 2830083 4411377  3304808  4961773  2800557  2695115 4494470  5886650
             512     256 1309596 3849877  7988981 12797441 8955098 5566231 5744919  5227492  7410080  4061007  6174377 5760329 11620224
             512     512 1185272 3970896 12146009 1279744112499490 4742616 5684095  5822804  5684095  5509113  3934520 5699180 12499490
            1024       4 1046071 2993413  5024495 11773301 2926114  946485 2535690  2188177  2586074  3556008  2375790 5251818 10906310
            1024       8 1268896 3472628  4762630 1330511612037272 4810640 5925680  7160597  9064828  4736370  3923040 6244448 13305116
            1024      16 1314327 1609925  3110479  4943530 4550690 2011877 3020783  2403712  3709575  1714690  2467229 5169641  7472033
            1024      32  653047 2225595  4762630  6059442 5782087 2688041 3908759  2646630  4854136  2358827  2225595 4064103  4926518
            1024      64  701355 2178189  4920874  6280976 6059442 2767722 4589593  3345496  5303701  2432298  2276316 4512441  6172653
            1024     128  513027 2169388  4060261  7524394 7420395 3618930 4854136  4265934  8137402  3160839  2386350 4674510  5958564
            1024     256  624376 2098375  4674510  5720477 5630486 2688041 3057339  3048658  5601115  2659742  2437821 5065980  7220790
            1024     512  662414 1796451  5042191  4762630 4741598 2178189 4396951  2900425  4126579  2343383  4249053 5048117  7269678
            1024    1024  507451 2102484  5782087  5958564 5885083 1789714 4451639  2672984  4512441  2672984  3066069 5175871  7257394
            2048       4  409282 1666393  3536690  3977179 3016334 1519319 3500658  2102384  3669648  1651654  1762469 4462754  5611381
            2048       8  543089 1928240  5020987  6917293 6543188 2797290 4054139  3871422  5785224  2443928  2378293 5169036  5689430
            2048      16  597943 2582036  5389574  6401772 6873016 3051697 5131978  3938881  5080379  2781889  2639154 5290001  6823876
            2048      32  596241 2694623  5433896  7286980 7336772 3057127 5222461  4014352  5868220  2947000   531265 1871932  1952344
            2048      64  179286 2488533  1978880  7562855 9752360 1718397 3465352  3730203  6759439  1910655  4079167 6280083 11690076
            2048     128  741995 2748949  5197183  7088541 7237860 3459769 5080379  3931669  5655716  1971160  2131071 3334853  4543002
            2048     256  832535 3145567  4971585  897772110620516 4096676 5403134  5144271 10289741  4162181  3618634 5461535  9101380
            2048     512  883119 2162727  5489457  4875642 6359119 2409650 4196751  4472047  7782107  2813783  2452301 3472356  4240255
            2048    1024 1422220 3029098  6696208  7065219 5689430 4231899 4276140  5567735  7503399  3251539  4550221 4842658  4676561
            2048    2048  594138 2653011  6243566  7165410 6603549 1289817 4061807  2951050  4265523  1562145  2937929 1980705  3894239
            4096       4 1097838 1664424  2476268  5513780 5704175 2657856 4785737  5497899  2734426  2938334  2876348 4535572  4795088
            4096       8 1207230 2805423  5382492  6252213 5340661 2815538 4801789  7146945  4858827  3479956  2983234 5468151  5178081
            4096      16 1362205 3519162  5751920  5013377 6714018 3040789 4858827  6490793  5980170  3276846  3282481 5292944  6142675
            4096      32 1343037 3562214  5572803  6263611 8660056 4052041 5396016  6471234  6122971  3425146  3195181 1798787  2095155
            4096      64  307415 1076513  3268741  1788674 3559262  754071 1798034  8093001  3564431   895913  2095155 4167033  4842392
            4096     128  546784 2725317  4413235  3817065 4320017 2049906 4922872  3543113  4686519  1871281  1960544 4357270  3977000
            4096     256  598918  259206  4708354  5320812 5252488 3034344 3945943  2616965  6204794  1835886  2523554 4801789  4853336
            4096     512  601476 1938423  4140919  3977000 3634562 1971116 3889659  2496056  5689064  1895436  2522443 3740604  5050220
            4096    1024  560777 1605624  4456740  3945943 3609363 1946770 4680135  2578086  5461198  1895227  2789933 4686519  4612286
            4096    2048  568177 2294686  4791076  4541567 4622213 2416362 4352854  2936325  4899008  1996079  3644585 3327622  3497668
            4096    4096  481271 2022635  4079948  3500519 3781775 2171696 4344048  2656212  4370571  1809206  2142180 3292546  2907010
            8192       4  669117 1424426  3506880  3383593 2468938 1307159 3273975  1893223  2760970  1312000  1474995 3457825  3532479
            8192       8  530776 1685225  4266273  3919746 3464100 1568808 3938618  2545013  3828039  1627050  1539566 3678455  3735239
            8192      16  531499 1748871  3938166  4242568 3360429 1534409 3822928  2391106  3862030  1549774  1241956 3879035  3610427
            8192      32  734766 1771594  3815711  4275297 3556980 1696458  445797  1035624  2495295  1421538  2299109 4065372  3569544
            8192      64  568768 1890202  4203126  3484475 3634487 1963996 4943274  4371019  4765695  2724410  1792949 4185717  3843884
            8192     128  573266 1958846  3747460  3688327 3613845 1974833 3906821  2857404  3986138  2163737  1778196 3789200  3733615
            8192     256  570079 1904240  3819104  3901055 4284360 2577662 3698649  3293747  4773640  2237573  1724643 3815287  3540122
            8192     512  572950 1717059  3891776  3675307 3550731 1904240 3541946  2382815  5435974  1706993  1704537 3547798  3618031
            8192    1024  624622 1811954  3750733  3959496 3549264 1702426 3783776  2373761  5221205  1692530  1665054 4364357  4622714
            8192    2048  530056 1665780  3011685  3365696 3339526 1774339 3258760  2537683  4129376  1674222  1738958 3413171  3641034
            8192    4096  531606 1527180  3083303  3034024 3007204 1952834 3113478  1998030  3860295  1857202  2182844 2702765  2984220
            8192    8192  595563 1423423  3065970  3126794 2974661 1950949 2976723  1662959  3045318  1683491  1561820 3004049  2807442
           16384       4  475673 1345836  3284743  3167846 2796452 1693064 2945692  1783586  3230846  1828189  1271951 3194946  4270994
           16384       8  505834 1579946  4081745  4522266 4332113 1990264 3569508  2494915  4231545  2056742  1576720 3786446  3732967
           16384      16  727084 1663877  3807636  3697616 3393586 1755699 3703394  4008882  4726949  2270456  1634628 3705991  3591333
           16384      32  557200 1760421  3920597  3700005 3492765 1868605 3562476  2674970  4729877  2486970  1699765 3892615  3891513
           16384      64  548309 1863689  3841479  3750898 3483734 1978745 3718625  2800212  5168507  2788282  1694484 3672716  3668598
           16384     128  608078 2205105  3895484  3616661 3603197 1774101 3562476  3067038  4673266  2347232  1445940 3798795  3379567
           16384     256  393591 2379664  3591333  3749261 4249864 2592424 3577126  3983320  4593300  2383130  1646456 3587584  3524833
           16384     512  680877 1811992  3746603  3409075 3518156 2147630 3518156  2563221  5020855  2732514  1596575 3596973  3726085
           16384    1024  541832 1750065  3050429  5975188 5849558 3707590 3667815  2568394  5716711  2655024  1450304 3546298  3569508
           16384    2048  518990 1947234  3399126  2766617 3339008 2872911  908413   540384  4551017  1741505  2392922 3336900  3326723
           16384    4096  632416 2248982  3051648  3064713 3027315 1838411 2988218  2024686  4152032  2364597  1793923 3019600  3118961
           16384    8192  564167 1457131  3027449  2829731 4050469 2722446 2977859  2210496  3113027  1404191  2072872 2953668  3038022
           16384   16384  686756 1483651  3065944  3373263 4080776 2328226 2952653  2598501  3072249  1995118  1660981 3004549  3054496
           32768      64  717195 1856961  3790394  4914887 4890751 2514810 3747503  4284549  4919285  2347786  1697200 3854602  4600342
           32768     128  777854 1718915  4894234  4926868 5248805 3107453 3564028  4394839  4991281  2756839  1736682 3639243  3780697
           32768     256  836024 1869795  3544359  4732615 4665145 2589337 3055026  4694625  4820929  2519236  1601949 3486722  3646581
           32768     512  707668 1715610  3659592  3720216 4146746 3727784 3499685  5096219  5299606  2743686  1803902 3608002  3458731
           32768    1024  816423 1714690  3611226  4480808 4815862 2477323 3637220  3189667  5268119  2370217  1620650 3677217  4413184
           32768    2048  702212 1869592  4329221  4545419 4570207 2683945 3476315  2836553  7019782  2270674  1420560 3450396  4108320
           32768    4096  749562 1837989  3199692  3203421 3825420 2676471 3236080  2397589  3151922  1712276  1599135 3119018  3374324
           32768    8192  755110 1820846  3204093  3965141 3150766 2527621 3565230  2387302  3166007  1989682  1644246 2890603  3724450
           32768   16384  733998 1505408  3154092  4191898 4175850 2630923 3192853  2686568  3163894  1481361  2226856 3175810  1947339
           65536      64 1100317 2240393  3752199  5938965 5809430 3320110 4774937  7932342  4286741  2730761  1644362 4367036  4441336
           65536     128  699109 3119896  5188548  5273254 5064278 3335338 5383660  6481623  4783995  3103447  2227972 3639474  4875121
           65536     256  933654 2067780  3551678  4417355 5221169 3335864 4158150  5480480  5285116  3222000  2478748 4107571  5280040
           65536     512  917076 2420428  3751789  4851973 5849361 3751124 3719199  4076141  5883037  3342313  2129799 4032489  4920148
           65536    1024 1008216 2176840  4630551  3894237 3504986 3384953 3728280  6803941  5871852  3002233  2303939 5155461  5762421
           65536    2048  847734 2187146  4123592  4563515 5066985 2963393 3738268  3325371  4946889  2110244  1738030 3959646  4943508
           65536    4096  950070 1796930  3888893  4126130 4358588 2708081 3333800  2917380  3247236  1957348  1708666 3122093  3736388
           65536    8192  834397 1947985  3553469  4300490 4320362 2741300 3160177  2944506  3137058  1856859  1672741 3400573  4096797
           65536   16384 1002827 1842816  3581013  4064509 4223510 2690771 2488555  2715063  3606242  2138215  1782516 3587884  3968278
          131072      64  937045 2008395  4526422  6449141 6097773 2867092 5374440  8100391  6144390  2873251  1963421 4809433  6133695
          131072     128 1117017 2649747  4126186  5538833 5406575 3007485 4297861  7777346  5793257  2805723  2667425 5237425  5614806
          131072     256 1270225 2283363  4216410  5555063 5831665 3294183 4430520  7503477  5772089  2954869  2454948 4548104  5292637
          131072     512 1116559 2647373  4392922  5720199 5931391 3152435 4660495  3973090  5902543  2865284  2265886 4564720  5844374
          131072    1024 1147670 2560054  4521880  5948913 5981991 3119273 5012507  7121114  5869521  2422463  2084945 4024454  5824868
          131072    2048 1131979 2281572  4184126  5038694 5003702 2473338 4268893  3878927  3875018  1860445  1725336 3768940  4857194
          131072    4096  957639 1877473  3877970  4122164 4201811 2218548 3237231  2776533  3554222  1753423  1571005 3427003  3149473
          131072    8192  991264 2045475  3655198  3515224 3631512 2102977 3751349  2788235  3442023  1794917  1632913 3766642  3932309
          131072   16384  944709 1948619  3732553  4204800 4220780 2354537 3704683  2850871  3246676  2132119  1891016 3832631  4229352
          262144      64  171349  165198  4567694  6212358 5864505  120883 4424455  8491040  6151740   181426   172566 5137453  6303678
          262144     128  171549  167251  4606773  6074488 5785812  133471 3628442  8360490  5960517   135063   175350 5223139  4829307
          262144     256  169336  176312  4886461  5703991 5553431  134376 4618228  7595105  5720431   178788   171141 4939298  5660880
          262144     512  176798  150976  4760371  5743350 5606383  151164 4972200  7057117  5617439   185599   179476 4701544  5745361
          262144    1024  169500  157534  5123186  5761920 5681384  146942 4148962  6994446  5908690   155864   173618 4883618  5707840
          262144    2048  176292  161043  4013653  4091148 4955460  141391 4214677  3886383  4555846   182505   131790 4136522  5025263
          262144    4096  174492  170737  3564359  4104021 3938871  188239 3715183  2830103  3765195   186975   185986 3671539  4316841
          262144    8192  146555  160197  3834647  4143459 4081398  164959 3626790  2767593  2196502   200838   188592 3752422  3994885
          262144   16384  175905  155250  3831894  4140447 3986195  174140 3802777  2868908  3728664   207778   219960 3882171  4024186
          524288      64   76539   86738  5574036  6456515 6078851   26065 5161992  8261451  6103620    92601    92997 5309408  6265990
          524288     128   92928   89349  5172069  5962906 5678961   48041 4570673  7285615  5517658    93116    91471 5490848  5991320
          524288     256   93169   87041  5072638  5674550 5521898   58206 4984143  7331279  5158843    94827    92257 4320605  5004709
          524288     512   90544   88024  5189327  5784668 5690129   62122 4814798  7066524  5578547    92768    92946 4573335  5161641
          524288    1024   91325   82359  4944994  5663384 5655926   69688 5098335  6454601  5397570    92557    84921 5065778  5721545
          524288    2048   92635   89207  4563834  5038364 4777683   88166 4599987  3548048  4918592    94130    91144 4446623  4967907
          524288    4096   90412   89099  3942811  4129025 4098879   91630 3774733  2768296  3777814    94560    94841 3877986  4229290
          524288    8192   92570   87471  3882807  4062922 3980717   86742 3882066  1944811  3206892    94538    95418 4013410  4247655
          524288   16384   93537   86918  3445568  3875410 4025584   90047 2657167  2821467  3854062    97426    93656 3151927  3463067

iozone test complete.
