	Iozone: Performance Test of File I/O
	        Version $Revision: 3.420 $
		Compiled for 64 bit mode.
		Build: linux-AMD64 

	Contributors:William Norcott, Don Capps, Isom Crawford, Kirby Collins
	             Al Slater, Scott Rhine, Mike Wisner, Ken Goss
	             Steve Landherr, Brad Smith, Mark Kelly, Dr. Alain CYR,
	             Randy Dunlap, Mark Montague, Dan Million, Gavin Brebner,
	             Jean-Marc Zucconi, Jeff Blomberg, Benny Halevy, Dave Boone,
	             Erik Habbinga, Kris Strecker, Walter Wong, Joshua Root,
	             Fabrice Bacchella, Zhenghua Xue, Qin Li, Darren Sawyer,
	             Vangel Bojaxhi, Ben England, Vikentsi Lapa.

	Run began: Sun Oct  6 11:54:12 2013

	Auto Mode
	Command line used: iozone -a
	Output is in Kbytes/sec
	Time Resolution = 0.000001 seconds.
	Processor cache size set to 1024 Kbytes.
	Processor cache line size set to 32 bytes.
	File stride size set to 17 * record size.
                                                            random  random    bkwd   record   stride                                   
              KB  reclen   write rewrite    read    reread    read   write    read  rewrite     read   fwrite frewrite   fread  freread
              64       4  488236 1330167  4564786 15972885 9318832 3958892 2772930  1947927  4274062  1638743  1518251 2923952  4564786
              64       8  470274 1734015  4643754  7100397 6421025 2561267 3791156  2923952  5283570  1828508  1518251 3541098  4897948
              64      16  546928 1828508  4564786  7940539 7100397 2689580 3406295  2923952  5389653  2052169  2561267 4988978  9318832
              64      32  752329  571375  7940539 2096219115972885 5389653 2801873  4274062  9006179  4564786  3791156 4897948 10402178
              64      64  752329 1648808 12902017 1597288512310336 4897948 4897948  4897948  4988978  3958892  3958892 4897948 15972885
             128       4  727658 1663139  3657016 11720614 9795896 2969325 4012317  4407601  6727225  3036502  2027414 5122535 10779307
             128       8  847059 3560017  5545860 10779307 9795896 4934216 4717434  5847904 11720614  3053774  1802755 5545860  2166499
             128      16  411772 1487977  3657016  5784891 5603747 2286447 3199360  2202044  4717434   643108   876086 3560017  5325799
             128      32  688467 2175277  5379161  8548124 7082197 3199360 3759450  3560017  5122535  3124872  2905056 4135958  7082197
             128      64  637004 2464907  5325799  9129573 7476717 3124872 3895854  3445772  6114306  2558895  3657016 4717434  8036304
             128     128  702889 2238774  6406138  8036304 7082197 3199360 4557257  3277486  4407601  3199360  2843510 4557257  7476717
             256       4  582983 1707589  4350555  5810112 4819184 2371308 3236056  2719671  3770085  2210228  2152625 4181144  5810112
             256       8  691930 2030503  4929815  7120034 6398720 2719671 4132864  3454704  5022044  2509882  2000242 4422226  6936061
             256      16  672010 1455317  4197489  1911233 3236056 2812272 4264168  3557725  7735574  2747508  2533571 4929815  7120034
             256      32  453858 1924938  4132864  6073004 1405778 3197509 4734192  3935921  5217259  3052087  2812272 4264168  7120034
             256      64  532397 2435861  5687020  8024634 7518900 3326279 4755158  3756894  5569035  3197509  3087188 5142301  7791708
             256     128  693718 2557711  5810112  7518900 7120034 3326279 4652146  1430119  5687020  2392442  3935921 3052087  7314033
             256     256  579209 2061693  5569035  5841722 2371308 2019049 4070199  2607399  4197489  2582316  2747508 4907284  7314033
             512       4  610287 1753325  4457157  6018636 2509312 2225819 3684733  2782414  3941742  1707325  1575781 3304808  3140488
             512       8  682649 1736314  5067142  7309196 6104175 2800557 4610256  3710197  5177083  1985091  2246778 4973263  7211022
             512      16 1138158 3934520  6395018 1279744111620224 5439343 6018636  6652558  6319739  3304808  4030519 5951911 12499490
             512      32 1180062 3122224  4742616  9859630 8955098 3905895 5344582  5177083  6999490  3877684  3533174 5822804   937435
             512      64  780674 3046915  6472112 1069433610044089 4650188 4784885  5453155 10434519  4195896  3201349 5624545 10235583
             512     128 1032044 3122224  6174377 10434519 9859630 4701087 5115422  2497638  8265729  2253852  4123387 2483197  8992598
             512     256  888930 3320137  6821616  9468384 9145790 4305250 5227492  4620174  6999490  2327124  4650188 5344582  9468384
             512     512  977103 3086326  9468384  9638369 9510316 4375425 4961773  4296637  5439343  3158966  2958758 5115422  9638369
            1024       4  767533 2316837  3984917  7941793 6529233 2276316 3121783  3735385  5444898  2138070  2528227 5018624  8061038
            1024       8  821247 2461573  4249053 10134284 8895850 3492395 5251818  4926518  8326715  3579719  2723840 5500686  9655828
            1024      16  563584 1706515  4949226  7319232 6609617 2859868 3804877  3764854  6244448  2805690  2535690 5120336  7113161
            1024      32  587803 2522288  5507740  7537599 7208671 3348104 5018624  4014717  5789881  2565989  2737730 5120336  7472033
            1024      64  720655 2645000  5444898  7755368 7472033 2837198 5024495  4249053  6519323  3029305  2573677 4570058  7577494
            1024     128  425042 2688041  5330028  7644933 7356843 3436508 5018624  2586074  6519323  3083680  2646630 5042191  5251818
