	Iozone: Performance Test of File I/O
	        Version $Revision: 3.420 $
		Compiled for 64 bit mode.
		Build: linux-AMD64 

	Contributors:William Norcott, Don Capps, Isom Crawford, Kirby Collins
	             Al Slater, Scott Rhine, Mike Wisner, Ken Goss
	             Steve Landherr, Brad Smith, Mark Kelly, Dr. Alain CYR,
	             Randy Dunlap, Mark Montague, Dan Million, Gavin Brebner,
	             Jean-Marc Zucconi, Jeff Blomberg, Benny Halevy, Dave Boone,
	             Erik Habbinga, Kris Strecker, Walter Wong, Joshua Root,
	             Fabrice Bacchella, Zhenghua Xue, Qin Li, Darren Sawyer,
	             Vangel Bojaxhi, Ben England, Vikentsi Lapa.

	Run began: Sun Oct  6 15:03:51 2013

	Auto Mode
	Command line used: iozone -a
	Output is in Kbytes/sec
	Time Resolution = 0.000001 seconds.
	Processor cache size set to 1024 Kbytes.
	Processor cache line size set to 32 bytes.
	File stride size set to 17 * record size.
                                                            random  random    bkwd   record   stride                                   
              KB  reclen   write rewrite    read    reread    read   write    read  rewrite     read   fwrite frewrite   fread  freread
              64       4  491815 1484662  2467108 1290201710821524 4274062 4274062  2379626 10402178  2801873  2203800 4564786 10821524
              64       8  576282 2561267  5735102 1597288515972885 4897948 5389653  5283570 15972885  2662899  2379626 5735102 15972885
              64      16  582535 2561267  5860307 1290201710821524 4018152 4274062  5283570  7940539  2133730  3203069 2561267 10821524
              64      32  763021 1279447  7100397 1290201712902017 5735102 2662899  5860307  3363612  4207076  1947927 3203069 12902017
              64      64  485587 1679761  6421025  7940539 6271021 2358717 3406295  2467108  3203069  1879725  1562436 3541098  5860307
             128       4  473930 1421023  3895854  5325799 4267461 1852520 3124872  2238774  3445772  1778862  1319723 4407601  6045455
             128       8  533241 1684006  4407601  6114306 5545860 2248149 3468030  2784517  6114306  2066432  1802755 4267461  6406138
             128      16  551878 1732927  3982553  6114306 5784891 2409592 3468030  2770150  4889281  2248149  1827299 3759450  5847904
             128      32  561107 1802755  4135958  6406138 6114306 2608629 3657016  2905056  4596273  2511022  2027414 3657016  5325799
             128      64  549056 1911894  4407601  6812590 6114306 2727923 3657016  2211113  3657016  1939522  2784517 4104338  6045455
             128     128  606767 1911894  5603747  6727225 6114306 2727923 3536566  2248149  3867787  2248149  2409592 3657016  5379161
             256       4  966633 2665657  5810112 1222861210245071 4117018 5022044  5569035  8208677  3823789  3017775 5540300  9868433
             256       8  491458 1523457  4070199  5117791 4422226 1924938 3511189  2392442  3454704  1790149  1660068 3879045  4929815
             256      16  612584 1790149  4332998  6398720 5687020 2480886 4197489  2943325  5117791  2305128  2045979 4404088  5971678
             256      32  625794 1855098  3879045  5347168 4929815 2170027 4332998  3159869  4734192  2435861  2285501 4009406  6107548
             256      64  620012 1938842  4572895  6595234 6107548 2754556 4422226  3159869  3950402  2285501  2131261 4652146  7518900
             256     128  628725 2019049  4819184  6249745 5810112 2699161 4332998  3009318  4672389  2486631  3207059 4652146  6107548
             256     256  653204 2000242  5687020  5971678 5717301 2665657 4070199  2639446  3994490  2170027  2030503 4496299  5810112
             512       4  535024 1635797  3941742  5067142 4131319 1874212 4038098  2991733  4420457  2314583  2187279 4485083  6104175
             512       8  612550 1723770  4571003  5886650 5331314 2391924 3877684  3012719  4271001  2244430  2089386 5019764  7540170
             512      16  639169 2063289  4123387  2402629 4485083 2089386 3762197  2474613  4384358  1875849  2132967 4420457  5744919
             512      32  628874 2207515  4784885  6104175 5744919 2782414 4494470  3239989  4827914  2449212  2327124 4068701  6035551
             512      64  666546 1741948  4927617  6319739 6035551 2678309 4494470  3346002  5439343  2160868  2039772 5227492  7871843
             512     128  557237 2132967  4973263  6086873 5822804 2891043 4447925  3279573  6018636  2830083  2625909 4650188  5951911
             512     256  558977 2753870  5822804  7309196 7115451 3459188 4871723  3710197  5684095  3086326  3481620 5115422  7211022
             512     512  542868 2275345  7309196  7410080 7334159 3459188 5115422  3481620  5115422  3437042  3122224 5067142  7435738
            1024       4  457943 1585557  3970183  4949226 4018473 1869160 3345496  2333199  3436508  1855433  1473500 3781427  4762630
            1024       8  544714 2455943  5277632  7631350 6702448 2934110 4854136  3984917  6317933  2774874  2600164 5096034  7369466
            1024      16  447354 1726407  3894582  4854136 4451639 1950656 3738636  2480051  4178773  1848247  3284101  441559  4392454
            1024      32  108175 2805690  5383475  7644933 7269678 3345496 4609294  4114719   247694  2653170  3684119 5226256 11903823
            1024      64 1247157 3751699  6059442 1234875411903823 5593820 4898425  6393168 12790037  3849207  4126579 6355328 14044758
            1024     128 1402756 3970183  6441107 1364323213264026 6093831 5690162  7590887 10255274  5120336  4162573 5630486 13472053
            1024     256 1379773 4178773  6874084 1249242612492426 5782087 5782087  6733974  9220512  5336651  4854136 5623115 10255274
            1024     512 1352828 3631168  7826025 1035416612037272 5536137 5690162  5536137  7941793  4550690  5536137 5690162 10134284
            1024    1024  433012  835303 11103681  2611230 8895850 4700088 5336651  4943530  4876180  5065980  4282950 5564829 10557785
            2048       4  429973 1919192  4581773  6024617 5197183 2142232 3690142  2913021  4301837  2270783  2109095 3696494  3771144
            2048       8  548779 1802788  4441984  5754221 4707314 1588726 4796687  3489282  5267294  2228370  1930406 3894239  5655716
            2048      16  503312 1784066  5225638  7189398 5521212 2984890 4983122  3855782  5359311  2195338  2109095 4405533  5264067
            2048      32  606470 2546821  3901313  5937172 5800851 2378293 3929871  3324528  5018054  2183064  2589821 5095447  7318020
            2048      64  559575 2756005  5489457  6243566 7726111 3536690 5362657  4303993  5478953  2998435  2805512 5107566  6378005
            2048     128  575778 2083011  5251194  6459541 7393606 3606479 5095447  4367454  6759439  2976615  2115848 3899542  4453499
            2048     256  612045 2345819  5107566  5403134 7112016 3358321 4923146  4023754  6202989  2446713  2408974 4601407  6340344
            2048     512 1391351 3500658  6420913  7817519 9062970 4842658 5750369  6670210  9664580  4686767  4144109 4321315  4154130
            2048    1024  580801 2615051  5689430  6851089 4519101 3160613 4762117  3612546  5884299  3025897  3016334 3698085  5056455
            2048    2048  522985 1873974  5306340  5068389 5345969 2809182 4451191  2756890  4521480  2741930  2223755 3470953  3835124
            4096       4  584055 2582737  3874745  3362795 3129412 1270812 3792628  2795836  3660895  1465008  2042109 3263773  3081698
            4096       8  540999 2302374  5165626  5461198 5704175 2323234 4280194  3555579  5171846  2339050  1777018 4121052  4352854
            4096      16  744335 1893556  5113352  5257310 6015769 2645985 4686519  3325046  4876757  2191364  2431065 1984321  1630617
            4096      32  760615 1940174  4530788  3063563 5424983 2760347 1665070  2552044  2520592  1697480  1118568 6022095  7542289
            4096      64  943544 1387061  6114255  6281934 8393502 4490523 5452532  8096815  6565206  4257917  2181070 5603704  6281934
            4096     128 1234824 3354260  4586428  5721272 5769304 3849566 5013377  7502762  6178018  3778448  3138560 5649775  6826060
            4096     256 1363069 3716329  4801789  5404504 6562698 3673419 4864330  5996870 12405978  3086681  2942360 2884074  2817385
            4096     512 1265383 3677350  5664678  5666546 6391782 3693161 5190597  5551194  8981502  3007255  2957556 5044289  4565707
            4096    1024 1187947 3146031  5271829  6349261 5250883 3322474 4565707  5019235  9019223  3217923  3207110 4496399  5131680
            4096    2048 1257971 2419425  4320017  4357270 3853020 2449785 4691638  2021682  2372973  2454335  1902362 2685695  2963678
            4096    4096 1171982 1828461  3942321  4262142 1745956 2388147 3298235  2790386  3957760  2756362  1186225 2707279  4019805
            8192       4  986390 2732426  5204597  5583494 4765695 2419392 4371576  5261179  4466476  2619719  2599700 4824582  4790946
            8192       8 1115438 2985257  5330557  5780764 4855947 2673533 5133064  6405850  5368033  3056697  3181219 5295233  5584401
            8192      16 1259345 3150591  5642173  5435974 5354648 2970290 5505657  7466577  5859631  3041006  3075025 5975808  6192276
            8192      32 1385875  797750  1095033  2809278 1427919 1259530 1861024  1502012  1606285  2879434  2751683 6230453  4919916
            8192      64  547776 1905190  4128880  4250966 3732398 1811572 3583691  2793064  4071635  1754228  1755662 3763056  3752371
            8192     128  568100 1924828  3647605  3691497 3621463 1726810 3266505  2802633  3608910  1525824  1543924 3658870  3279600
            8192     256  564497 1906882  3555507  3671773 3555507 1789401 3853368  2885480  4946832  2244882  1834299 3795898  3599082
            8192     512  720423 1863851  3649155  3626431 3594563 1923858 3720275  2573607  5231540  1739222  1790987 3856828  4104220
            8192    1024  557391 1818860  3655366  3489075 3581823 1911337 3500806  2474094  6959913  2414971  1675201 3489075  3526677
            8192    2048  817975 1720326  3459566   902190 1814825 2018216 3174166  1945756  4659702  2077020  1686631 3410461  3394960
            8192    4096  541799 1533519  2921546  3019626 2964907 2062433 3039661  1730027  3826334  2021184  2025712 3034024  3191265
            8192    8192  522487 1499783  3060236  3068160 3292485 2113040 3029744  1695704   809077  1179903  2136692 2972345  3113760
