	Iozone: Performance Test of File I/O
	        Version $Revision: 3.420 $
		Compiled for 64 bit mode.
		Build: linux-AMD64 

	Contributors:William Norcott, Don Capps, Isom Crawford, Kirby Collins
	             Al Slater, Scott Rhine, Mike Wisner, Ken Goss
	             Steve Landherr, Brad Smith, Mark Kelly, Dr. Alain CYR,
	             Randy Dunlap, Mark Montague, Dan Million, Gavin Brebner,
	             Jean-Marc Zucconi, Jeff Blomberg, Benny Halevy, Dave Boone,
	             Erik Habbinga, Kris Strecker, Walter Wong, Joshua Root,
	             Fabrice Bacchella, Zhenghua Xue, Qin Li, Darren Sawyer,
	             Vangel Bojaxhi, Ben England, Vikentsi Lapa.

	Run began: Sun Oct  6 16:36:20 2013

	Auto Mode
	Command line used: iozone -a
	Output is in Kbytes/sec
	Time Resolution = 0.000001 seconds.
	Processor cache size set to 1024 Kbytes.
	Processor cache line size set to 32 bytes.
	File stride size set to 17 * record size.
                                                            random  random    bkwd   record   stride                                   
              KB  reclen   write rewrite    read    reread    read   write    read  rewrite     read   fwrite frewrite   fread  freread
              64       4  320021 1124074  2067979  5860307 4274062 1734015 2222043  1690338  4564786  1599680  1492919 2772930  4897948
              64       8  359444 1828508  4897948  7293312 6421025 2662899 3738358  3203069  7100397  2222043  2278628 4564786  6421025
              64      16  394870 1599680  3958892  6421025 6421025 2203800 3057153  2379626  4274062  1780008  1722886 3363612  5860307
              64      32  400168 1638743  5283570  7100397 5860307 2379626 3057153  2561267  4018152  2133730  2358717 3738358  5283570
              64      64  481234 1828508  4988978  8182586 6421025 2467108 3203069  2133730  3203069  2006158  1768283 1210227  5860307
             128       4  334123 1421023  3895854  5325799 4267461 1939522 3036502  2211113  3468030  1852520  1579934 3536566  4717434
             128       8  621518 2066432  5122535  6727225 6727225 2843510 4407601  3468030  7917784  2558895  2132084 4934216  6727225
             128      16  633995 2132084  4717434  7582312 7582312 3106789 3982553  3560017  5847904  2727923  2202044 4407601  7176872
             128      32  699227 2238774  4889281  7082197 7476717 3297617 4135958  3657016  5545860  2920861  2608629 4444086  7082197
             128      64  684081 2326073  5784891  9795896 8036304 3380677 4717434  3759450  5325799  2098744  3657016 4717434  7476717
