	Iozone: Performance Test of File I/O
	        Version $Revision: 3.420 $
		Compiled for 64 bit mode.
		Build: linux-AMD64 

	Contributors:William Norcott, Don Capps, Isom Crawford, Kirby Collins
	             Al Slater, Scott Rhine, Mike Wisner, Ken Goss
	             Steve Landherr, Brad Smith, Mark Kelly, Dr. Alain CYR,
	             Randy Dunlap, Mark Montague, Dan Million, Gavin Brebner,
	             Jean-Marc Zucconi, Jeff Blomberg, Benny Halevy, Dave Boone,
	             Erik Habbinga, Kris Strecker, Walter Wong, Joshua Root,
	             Fabrice Bacchella, Zhenghua Xue, Qin Li, Darren Sawyer,
	             Vangel Bojaxhi, Ben England, Vikentsi Lapa.

	Run began: Sun Oct  6 16:36:45 2013

	Auto Mode
	Command line used: iozone -a
	Output is in Kbytes/sec
	Time Resolution = 0.000001 seconds.
	Processor cache size set to 1024 Kbytes.
	Processor cache line size set to 32 bytes.
	File stride size set to 17 * record size.
                                                            random  random    bkwd   record   stride                                   
              KB  reclen   write rewrite    read    reread    read   write    read  rewrite     read   fwrite frewrite   fread  freread
              64       4  346008 1279447  3363612  5283570 4274062 1768283 2379626  1780008  3541098  1336792  1518251 2801873  4564786
              64       8  444572 1421755  4274062  6271021 5860307 2052169 2662899  2006158  5283570  1879725  1828508 3541098  4897948
              64      16  429630 1452528  3791156  6271021 6271021 2203800 3203069  2358717  4274062  1780008  1947927 3791156  4897948
              64      32  467002 1599680  4564786  8182586 5860307 2278628 2801873  2067979  4018152  2133730  2358717 3738358  5860307
              64      64  453587 1392258  6421025  7940539 6421025 2444640 3203069  2467108   565358  1933893  1722886 3791156  8182586
             128       4  364770 1421023  3657016  4934216 4267461 1827299 2985839  2326073  3359523  1778862  1622919 3560017  4934216
             128       8  535903 1642783  4407601  6114306 5545860 2286447 3560017  2784517  6114306  2004703  1778862 3199360  4934216
             128      16  436904 1732927  3867787  6114306 5784891 2409592 3359523  2843510  4934216  2248149  1827299 3895854  5545860
             128      32  540217 1802755  4135958  6406138 6406138 2511022 3380677  2905056  3867787  2132084  2132084 3359523  4759253
             128      64  479432 1885042  4759253  7082197 6406138 2673584 3657016  2905056  4407601  2175277  2920861 4104338  6114306
             128     128  600657 1939522  5545860  7176872 6114306 2608629 3759450  2166499  4135958  2660335  1827299 3657016  5122535
             256       4  504861 1504249  3454704  4181144 3454704 1581810 3207059  2419396  3511189  1868008  1729594 3950402  4929815
             256       8  495084 1718521  4404088  5938650 5428265 2350543 3994490  2984226  4197489  2187712  1967260 3935921  4929815
             256      16  593947 1743637  3823789  5569035 5455847 2509882 3499745  2435861  4929815  2205688  1970871 3454704  5569035
             256      32  606700 1237306  4496299  7571923 7073132 3326279 4054829  4009406  5810112  1696795  2509882 4404088  7314033
             256      64  617161 2392442  4929815  8024634 7518900 3545976 4819184  4070199  7120034  3410808  2509882 4496299  7791708
             256     128  494172 2205688  5687020  7735574 7120034 3499745 4197489  3705040  5217259  2903529  3717869 4652146  7518900
             256     256  800221 2533571  6936061  7314033 6936061 3326279 4652146  3275543  4819184  3245838  2783115 2842047  7073132
             512       4  635951 1467055  3795443  2891043 3934520 1861217 3239989  2368185  3795443  1759070  1619757 4340054  4271001
             512       8  557816 1135750  4420457  5807059 5115422 2327124 3029721  3012719  2860238  1747618  1273106 4305250  4131319
             512      16  775879 2132967  4871723  7309196 6821616 1759070 4000485  3905895  5067142  2830083  1835760 5164632  7211022
             512      32  723349 2314583  5344582  7435738 5067142 3346002 4916336  4123387  6104175  2875558  2327124 1610042  5067142
             512      64  422499 1589779  4660280  6086873 3504346 2638816 4973263  4091959  5886650  3122224  2708713 4882800  7540170
             512     128  602243 1454140  2708713  5886650 3264616 1417662 2891043  2463259  5886650  2651850  2438090 4000485  7115451
             512     256  730484 2521095  2695115  7091952 7022379 3299730 4660280  2016784  5822804  2782414  3877684 4784885  6931711
             512     512  636894 1605228  2926501  7309196 7211022 3158966 3970896  2275345  2830083  3325278  2860238 4882800  3086326
            1024       4  420012 1943594  4531485  6128613 5120336 1828574 4033569  2995501  4321737  2081090  1679160 3010197  6059442
            1024       8  769458 2225595  4966395  7369466 6733974 2592318 4694950  2011877  6025439  2541692  2353657 5096034  7420395
            1024      16  771670 2360124  5200941  7472033 6963241 3037876 4949226  3348104  5593820  2645000  2553783 4321737  7472033
            1024      32  835953 2612819  5310258  7644933 7257394 2716948 5096034  4018473  5144870  2813041  2275110 4943530  7537599
            1024      64  469302 1799462  5564829  7883484 7644933 3544270 3631168  4126579  8542002  2432298  2827858 4995276  7699755
            1024     128  791289 1976691  4099011  6172653 5950309 2767722 3738636  4083422  6441107  2791104  2182617 3472628  4215688
            1024     256  769320 2251260  5390231  7208671 7160597 2829721 4876180  3970183  6819511  3314514  3189002 4826859  7160597
            1024     512  805688 2260740  5950309  7306780 7220790 3239514 4634161  3544270  5991815  2472911  3891053 5018624  7269678
            1024    1024  609577 2461573  3970183  5950309 6479979 2592318 4966395  3304314  5089995  3324778  2950233 4876180  6355328
