	Iozone: Performance Test of File I/O
	        Version $Revision: 3.420 $
		Compiled for 64 bit mode.
		Build: linux-AMD64 

	Contributors:William Norcott, Don Capps, Isom Crawford, Kirby Collins
	             Al Slater, Scott Rhine, Mike Wisner, Ken Goss
	             Steve Landherr, Brad Smith, Mark Kelly, Dr. Alain CYR,
	             Randy Dunlap, Mark Montague, Dan Million, Gavin Brebner,
	             Jean-Marc Zucconi, Jeff Blomberg, Benny Halevy, Dave Boone,
	             Erik Habbinga, Kris Strecker, Walter Wong, Joshua Root,
	             Fabrice Bacchella, Zhenghua Xue, Qin Li, Darren Sawyer,
	             Vangel Bojaxhi, Ben England, Vikentsi Lapa.

	Run began: Mon Oct  7 13:55:05 2013

	Auto Mode
	Command line used: iozone -a
	Output is in Kbytes/sec
	Time Resolution = 0.000001 seconds.
	Processor cache size set to 1024 Kbytes.
	Processor cache line size set to 32 bytes.
	File stride size set to 17 * record size.
                                                            random  random    bkwd   record   stride                                   
              KB  reclen   write rewrite    read    reread    read   write    read  rewrite     read   fwrite frewrite   fread  freread
              64       4  370355 1279447  3541098  5735102 4018152 1734015 2892445  2067979  4564786  1526887  1492919 2772930  4897948
              64       8  395452 1484662  4274062  7100397 5389653 2203800 2772930  2067979  4564786  1599680  1421755 3203069  4564786
              64      16  484710 1562436  4564786  7100397 5735102 2278628 3022727  2467108  4564786  1768283  2133730 3588436  4897948
              64      32  500060 1638743  5283570  7100397 6271021 2379626 3203069  2467108  4274062  2133730  2379626 3791156  5389653
              64      64  471099 1734015  6421025  7940539 6421025 2561267 3363612  2444640  4018152  2203800  1947927 3958892  5860307
             128       4  450468 1451764  3895854  5325799 4444086 1885042 2660335  1827299  3468030  1705404  1561553 3445772  4717434
             128       8  549618 1684006  4267461  6114306 5603747 2276751 3560017  2784517  6406138  2066432  1772988 4012317  5784891
             128      16  531131 1778862  4012317  6114306 6114306 2511022 3380677  2377579  4717434  2248149  1827299 3657016  6114306
             128      32  584313 1885042  3982553  6406138 6045455 2673584 3560017  2985839  4596273  2464907  2166499 3759450  6045455
             128      64  554157 1939522  4135958  6114306 5122535 2286447 3657016  2969325  4557257  1521718  2511022 4135958  6114306
