	Iozone: Performance Test of File I/O
	        Version $Revision: 3.420 $
		Compiled for 64 bit mode.
		Build: linux-AMD64 

	Contributors:William Norcott, Don Capps, Isom Crawford, Kirby Collins
	             Al Slater, Scott Rhine, Mike Wisner, Ken Goss
	             Steve Landherr, Brad Smith, Mark Kelly, Dr. Alain CYR,
	             Randy Dunlap, Mark Montague, Dan Million, Gavin Brebner,
	             Jean-Marc Zucconi, Jeff Blomberg, Benny Halevy, Dave Boone,
	             Erik Habbinga, Kris Strecker, Walter Wong, Joshua Root,
	             Fabrice Bacchella, Zhenghua Xue, Qin Li, Darren Sawyer,
	             Vangel Bojaxhi, Ben England, Vikentsi Lapa.

	Run began: Mon Oct  7 16:15:05 2013

	Auto Mode
	Command line used: iozone -a
	Output is in Kbytes/sec
	Time Resolution = 0.000001 seconds.
	Processor cache size set to 1024 Kbytes.
	Processor cache line size set to 32 bytes.
	File stride size set to 17 * record size.
                                                            random  random    bkwd   record   stride                                   
              KB  reclen   write rewrite    read    reread    read   write    read  rewrite     read   fwrite frewrite   fread  freread
              64       4  226948 1232453  3203069  5860307 4018152 1768283 2662899  2067979  4564786  1638743  1279447 2923952  4564786
              64       8  477808 1780008  5283570  9318832 7100397 2772930 3791156  2923952  6421025  2278628  2298136 4274062  6421025
              64      16  440921 1679761  4274062  8182586 5735102 2203800 3022727  2467108  4207076  1780008  2133730 3363612  5735102
              64      32  263480 1828508  4274062  7100397 6421025 2379626 3057153  2444640  4274062  1780008  2467108 3958892  7100397
              64      64  450541 1599680  5860307  4564786 4897948 1991276 3363612  2358717  3791156  2133730  1562436 3203069  4988978
             128       4  509943 1424795  4135958  5784891 5122535 2326073 3380677  2905056  4135958  2248149  1802755 4012317  5847904
             128       8  499970 1618028  4012317  5603747 5122535  531131 3277486  2727923  6406138  1967960  2098744 4267461  6727225
             128      16  630273 2058509  4267461  6330599 7176872 2969325 3657016  3468030  7082197  2784517  2238774 3124872  6406138
             128      32  639279 2058509  4759253  8036304 7082197 3277486 3867787  3657016  5122535  3036502  2066432 4444086  8036304
             128      64  684081 2420455  5122535  8036304 7176872 3277486 3359523  3297617  4407601  2132084  3468030 4267461  7476717
             128     128  473930  853794  5122535  6406138 5784891 2608629 3560017  2098744  3867787  2558895  1778862 4267461  6406138
             256       4  568777 1437779  2170027  4734192 3770085 1694118 2943325  2187712  3410808  1802167  1420658 3557725  4755158
             256       8  658411 2097948  4755158  7314033 6398720 2943325 4422226  3717869  5022044  2754556  2065659 4734192  7314033
             256      16  570288 1718521  4132864  6936061 6719046 3159869 4197489  3605511  6073004  2872459  2441400 4054829  6719046
             256      32  672010 2034350  2413957  7518900 7120034 3410808 3935921  3950402  5569035  2880164  1300235 4281170  7314033
             256      64  723153 2135500  5217259  8024634 7314033 3557725 4652146  4070199  7120034  3465855  2943325 4264168  7314033
             256     128  609455 2665657  2509882  7518900 7120034 1445521 4572895  3705040  5971678  1340826  4197489 4477549  7120034
             256     256  364127 2187712  3605511  2509882 4652146  602276 3994490  2719671  4350555  2726577  1420658 3935921  4734192
             512       4  474078 1594501  2427068  4742616 3849877 1842059 2198475  1667552  4271001  1160923  2187279 4340054  5951911
             512       8  549818 1809465  4195896  5744919 5127637 1614885 4068701  2926501  4228947  2216629  1910902 4610256  7211022
             512      16  735488 2416145  5067142  7211022 6736026 2942541 2339802  3905895  5177083  2894940  2055390 5164632  7211022
             512      32  464139 2535981  5509113  7647578 7211022 3504346 4610256  3795443  5886650  2942541  2826358 5331314  7540170
             512      64  836636 2681653  5624545  7871843 7410080 2463259 4494470  4163357  7758090  3239989  2942541 4973263  7513788
             512     128  785241 2668325  5760329  7620440 7211022 3459188 3388236  3634839  6931711  3029721  3388236 5067142  7435738
             512     256  709019 2613128  5760329  7211022 6999490 3259661 4784885  3684733  5822804  2942541  4411377 4973263  3459188
             512     512  820337 2753870  7309196  7435738 7309196 3284589 4784885  2016784  5019764  3409755  3140488 4701087  3628697
            1024       4  615783 1895558  3411938  6059442 5018624 1809317 3804877  2900425  4594502  2133821  1848247 3794792  3369115
            1024       8  617287 1961346  2672984  7420395 6529233 2381058 4783849  3923040  5018624  2220992  2461573 5169641  7356843
