	Iozone: Performance Test of File I/O
	        Version $Revision: 3.420 $
		Compiled for 64 bit mode.
		Build: linux-AMD64 

	Contributors:William Norcott, Don Capps, Isom Crawford, Kirby Collins
	             Al Slater, Scott Rhine, Mike Wisner, Ken Goss
	             Steve Landherr, Brad Smith, Mark Kelly, Dr. Alain CYR,
	             Randy Dunlap, Mark Montague, Dan Million, Gavin Brebner,
	             Jean-Marc Zucconi, Jeff Blomberg, Benny Halevy, Dave Boone,
	             Erik Habbinga, Kris Strecker, Walter Wong, Joshua Root,
	             Fabrice Bacchella, Zhenghua Xue, Qin Li, Darren Sawyer,
	             Vangel Bojaxhi, Ben England, Vikentsi Lapa.

	Run began: Mon Oct  7 22:55:51 2013

	Auto Mode
	Command line used: iozone -a
	Output is in Kbytes/sec
	Time Resolution = 0.000001 seconds.
	Processor cache size set to 1024 Kbytes.
	Processor cache line size set to 32 bytes.
	File stride size set to 17 * record size.
                                                            random  random    bkwd   record   stride                                   
              KB  reclen   write rewrite    read    reread    read   write    read  rewrite     read   fwrite frewrite   fread  freread
              64       4  385237 1210227  3057153  4988978 3958892 1780008 2662899  2006158  4274062  1562436  1279447 2772930  4564786
              64       8  450541 1392258  4274062  6421025 4897948 2067979 2689580  2067979  4564786  1599680  1330167 3057153  4564786
              64      16  135586 1492919  4018152  6421025 5860307 2222043 3022727  2467108  4564786  1780008  1947927 3406295  5735102
              64      32  463774 1562436  4274062  7100397 5735102 2278628 3057153  1991276  3791156  1947927  2298136 3203069  4988978
              64      64  463774 1780008  5389653  6271021 4897948 1933893 3203069  1933893  3541098  1879725  2278628 4564786  7100397
             128       4  470606 1377278  3759450  4889281 4135958 1885042 2969325  2238774  3297617  1749872  1504659 3468030  4557257
             128       8  563463 1579934  4267461  5784891 5325799 2211113 3468030  2727923  5847904  1967960  1749872 3895854  5784891
             128      16  549056 1710838  3895854  6114306 5847904 2420455 3359523  2843510  4934216  2202044  1802755 3657016  5847904
             128      32  568836 1755594  4759253  6727225 6114306 2571150 3468030  2843510  4444086  2464907  2098744 3759450  5603747
             128      64  551878 1802755  4267461  6727225 6114306 2558895 3560017  2843510  5325799  2248149  3380677 4407601  7082197
             128     128  612303 1911894  5325799  6727225 6045455 2673584 3277486  2211113  4407601  2608629  1858934 4444086  6406138
             256       4  524593 1422540  3810220  4929815 4009406 1884399 3285566  2371308  2148318  1839210  1652404 3705040  4672389
             256       8  570288 1112909  4264168  5938650 5217259 2305128 3879045  3017775  4054829  2148318  2015259 4264168  5841722
             256      16  603970 1718521  3935921  5810112 5569035 2509882 3950402  2943325  4477549  2247235  2000242 3770085  4929815
             256      32  656399 1855098  3994490  6073004 5810112 2639446 3557725  3087188  5810112  2463808  1600674 3879045  5687020
             256      64  746272 1911233  4496299  6554972 5841722 2819657 3879045  3159869  4652146  2754556  2588541 4332998  6073004
             256     128  592636 1938842  4929815  6249745 3605511 2588541 4264168  2943325  4572895  2413957  2943325 4332998  5938650
             256     256  807442 2045979  5687020  5841722 5687020 2665657 4132864  2754556  4197489  2719671  2486631 4404088  5687020
             512       4  523545 1645826  3533174  4163357 3264616 1286067 3415178  2391924  3415178  1402845  2180616 4532414  6018636
             512       8  583744 1753325  2327124  4973263 2668325 2135087 3415178  2416145  2782414   451930  2275345 5019764  7309196
             512      16  637650 1619757  4660280  6035551 5624545 2572435 3081897  3122224  4375425  2275345  2150051 3140488  5886650
             512      32  820337 2460437  5509113  7758090 7211022 3459188 4331300  4091959  5951911  3046915  2750343 4827914  7513788
             512      64  665101 2124526  4973263  5127637 4927617 2327124 4973263  4195896  6104175  3086326  2910635 4973263  7647578
             512     128  629611 2169601  4961773  6035551 5684095 2875558 3849877  2681653  5019764  2337255  2712134 5019764  7410080
             512     256  640885 2107844  5019764  5684095 5639315 2708713 3220553  3710197  6104175  3081897  3877684 4882800  7309196
             512     512  843537 2681653  7211022  2124526 7211022 3325278 5019764  3366987  5067142  3366987  3064306 4571003  5807059
            1024       4  655639 1587315  3249318  4810640 3379719 1546729 2844715  2260740  3436508  1741104  2198257 3738636  4570058
            1024       8  584126 1924436  4079544  4654248 4146499 1865101 4048778  2450338  3425544  1756772  1698417 4304412  5564829
            1024      16  560495 1973059  5018624  7160597 6692005 3055164 4920874  3261656  5277632  2789291  2625597 4512441  7054742
            1024      32  643652 1924436  4550690  5782087 5564829 2688041 5096034  4178773  5690162  2976816  2767722 4943530  7208671
            1024      64  571381 2000631  4674510  5950309 5789881 2835325 4451639  3422814  4995276  2337008  2035716 4614246  5885083
            1024     128  651363 2146618  4555516  5720477 5593820 2767722 4876180  4232305  6441107  3083680  2522288 5018624  7160597
            1024     256  644811 2150918  4531485  5564829 5500686 2617596 4215688  3037876  4876180  2716948  2632033 4374559  5500686
            1024     512  663642 2137006  4920874  5652717 5601115 2187063 4282950  2844715  5853003  3121783  3966517 4926518  7020149
            1024    1024  624740 2653170  7101400  7319232 7306780 3291652 4972145  3379719  4898425  3324778  3094790 3970183  7113161
            2048       4  484846  573051  3857514  6041567 4971585 2038038 3379461  1944829  3396834  1776319  1823840 4462754  5800851
            2048       8  566065 2426668  4521480  7343043 6629029 2786401 4853603  3967993  5430461  2719361  2595298 5092426  5800851
            2048      16  838712 2534797  5238385  7286980 6990474 2981782 4321315  3002627  4347560  2094183  1810768 5251194  7059413
            2048      32  843489 2226060  4623699  5884299 5475461 2268385 5212953  4265523  5816563  2786401  2009902 4213218  4785996
            2048      64  855417 2734075  5104531  7529708 6563185 3579429 4562305  3165272  4751580  1878893  2673655 5020987  7503399
            2048     128  585312 2245261  5200329  7293167 7368238 3215029 4772701  4444282  6690992  2984890  2817475 5020987  7159438
            2048     256  622693 2698856  5107566  6945257 7165410 3099039 4886737  4081105  6675393  2669500  2343259 3871422  5461535
            2048     512  603785 2197023  5332694  7036283 7183386 3097921 4321315  2868277  5430461  2619037  2578935 4960102  6917293
            2048    1024  607543 2645657  5719737  6967792 6786139 2228370 4293237  2628655  5018054  2550602  3199462 4186524  5345969
            2048    2048  842827 2968386  6225466  6483920 6420913 2712491 4796687  3586902  5107566  3512108  3277593 5068389  6207471
            4096       4  460897 1952300  4027344  4824714 4414369 1923879 3904688  3068488  4016047  2103879  2035817 3643812  3117487
            4096       8  529673 2312913  4121052  3795980 3795980 1590757 3980686  2556602  4213018  1520503  1866807 4271680  3571100
            4096      16  564796 1908703  4108241  4325455 3524939 1861750 4846491  3543113  4876757  2605455  1853314 4140919  4000150
            4096      32  669159 2592090  4128976  4366128 4284464 1909552 4865707  3976080  4701910  2687795  1761711 3806915  3558525
            4096      64  588839 2661562  5159420  5230102 6361016 2907010 5087609  4535572  5433562  2801763  2682759 4490523  4628439
            4096     128  866322 1980661  4133944  4019805 3666363 2078175 4262142  4428023  5454263  2701744  2462779 4549987  5353976
            4096     256  573507 2671495  4796426  4395170 5696610 2850576 4253700  4149921  7816828  2607037  2529871 4708354  4911613
            4096     512  579914 2605850  4740836  5250883 5835938 2824797 3803543  3743865  7004170  2693273  2588965 4719996  4496399
            4096    1024  850665 2550150  4824714  5396016 5319164 2708986 3105091  3824713  6605595  2737912  2588965 3894067  3788446
            4096    2048  731157 2550150  4556020  5706070 4530788 3096138 3580776  1822062  3497668  1631856  3045101 3934195  4366128
            4096    4096  635331 2021682  3935097  4032070 3923414 2148878 3871253  2241981  4035859  2436582  1072548 3385325  3991785
            8192       4  791958 1350257  3540122  3148282 2594204 1275000 2852423  2730689  3604367  1932514  1404398 3160444  3103074
            8192       8  501588 1643314  4168957  4162896 3288703 1627358 3560297  2568797  3325949  1537224  1604410 3728753  3632950
            8192      16  801023 1721015  4748571  6224809 5732541 3211248 1868209  6954278  5665431  2598914  2997498 3906377  6090202
            8192      32 1422716 1766312  3949937  3711835 3474258 1878525 3759762  2536371  4081792  2274303  1731945 3882541  3742154
            8192      64  562787 1872893  3926914  3652258 3649155 1950063 3949483  2820115  3718664  1747004  1798863 3766356  4098346
            8192     128  555885 1850500  3799676  3608910 3696660 1980638 4732873  4493345  4853203  2494571  1712011 3711835  3561773
            8192     256  889369 1748159  3736863  3509746 3580330 1905507 3787530  2604627  3524869  1674875  1703439 3668636  3685162
            8192     512  574713 1741073  3760997  3515851 3618412 1838421 3715447  2415140  7236972  2475698  1759078 3949937  3541581
            8192    1024  671419 1714488  3655366  3575487 3621463 1892805 3620318  2554474  6978288  2403820  1716373 3626431  3384927
            8192    2048  548178 1624128  3526316  3394960 4500997 2367709 3547798  2779732  4867641  2217071  1740367 3429182  3243073
            8192    4096  652435 1420246  3000639  3043160 3543407 2224247 3159282  1723951  3766356  1985445  2154647 3043160  2986555
            8192    8192  515936 1474426  3073925  3732398 3822928 1978699 3117149  1592217  3018564  1691447  1698135 3010630  2911150
           16384       4  466569 1329433  3333339  3312611 2427666 1334960 2760172  1924548  4350488  2221860  1118284 2015009  3696025
           16384       8 1274333 2923635  1036949  5147215 4686652 2315049 4427001  7086815  4675810  2543300  1475908 3722049  3568025
           16384      16  579721 1673888  2653281  2701788 3442720 1997786 3687496  3907445  4867574  2745286  1701869 3992346  3793553
           16384      32  707705  821828  3322701  3726894 3018406 2362159 3574149  4038567  3672716  1786275  2355035 6161631  6090637
           16384      64 1398903 3107677  5086636  5755011 3119669 3664490 5557667  4335666  3987249  2426123  3030653 5878581  5962227
           16384     128 1099673 2999566  4135291  4071588 4001878 2348275 5457909  7642455  5651363  3035740  3087293 5477486  5525936
