	Iozone: Performance Test of File I/O
	        Version $Revision: 3.420 $
		Compiled for 64 bit mode.
		Build: linux-AMD64 

	Contributors:William Norcott, Don Capps, Isom Crawford, Kirby Collins
	             Al Slater, Scott Rhine, Mike Wisner, Ken Goss
	             Steve Landherr, Brad Smith, Mark Kelly, Dr. Alain CYR,
	             Randy Dunlap, Mark Montague, Dan Million, Gavin Brebner,
	             Jean-Marc Zucconi, Jeff Blomberg, Benny Halevy, Dave Boone,
	             Erik Habbinga, Kris Strecker, Walter Wong, Joshua Root,
	             Fabrice Bacchella, Zhenghua Xue, Qin Li, Darren Sawyer,
	             Vangel Bojaxhi, Ben England, Vikentsi Lapa.

	Run began: Mon Oct 28 15:33:53 2013

	Auto Mode
	Command line used: iozone -a
	Output is in Kbytes/sec
	Time Resolution = 0.000001 seconds.
	Processor cache size set to 1024 Kbytes.
	Processor cache line size set to 32 bytes.
	File stride size set to 17 * record size.
                                                            random  random    bkwd   record   stride                                   
              KB  reclen   write rewrite    read    reread    read   write    read  rewrite     read   fwrite frewrite   fread  freread
              64       4  220788  969761  4274062  7940539 5735102 1679761 3588436   842003  6421025  1679761  1599680 4643754  5735102
              64       8  408077 1083249  5860307  9006179 5860307 1421755 3363612  2662899  7100397  2133730  1991276 3958892 10821524
              64      16  460591 1734015  7940539 10821524 7940539 2892445 5283570  3363612  7940539  2662899  1204796 5735102 10821524
              64      32  799377 2444640  7100397 1597288512902017 4988978 9006179  5283570  7940539  3738358  456478610821524 15972885
              64      64  412466  966270  7100397  9006179 2772930 2203800 4564786  3165299  2006158  2133730  2298136 6421025  7940539
             128       4  506097 1852520  9287508 12542043 9129573 3759450 4934216  4596273  4717434  1557024  1579934 4557257  3036502
             128       8  425141 1421023  7176872  8036304 5784891  347758 4407601  1102844  8036304  2211113  2211113 6727225  9129573
             128      16  554157 1642783  8036304  9129573 4407601 1504659 2464907  2905056  8548124  2843510  2969325 5784891  8548124
             128      32  726674 2211113  9129573 11720614 8548124 3380677 7176872  3759450  9129573  3560017   481150 6406138  9795896
             128      64  584313 1802755  8036304  9977956 8036304 3199360 7082197  3657016  8548124  2511022  5325799 7082197  9129573
             128     128 1076312 4407601 12842051 1420079412842051 5325799 6114306  3277486  7582312  2843510  2464907 7582312  9287508
             256       4  920240 3275543 10245071 11207494 9192546 3770085 1911233  4572895  8024634  3605511  3326279 9114515 10758322
             256       8 1079348 4117018 12228612 1345445011695808 484091110245071  6249745 10245071  4350555  426416811569783 12812277
             256      16 1158540 4264168 12228612 1345445011695808 5022044 6554972  6249745 16072608  4652146  449629911695808 13454450
             256      32  564887 1704877  6761355  9518507 8534922 3052087 2812272  3935921  4672389  2509882  3935921 5217259 12812277
             256      64  741633 2557711  7735574  9778562 8534922 3410808 2285501  2812272  9868433  3245838  3454704 1894373  6554972
             256     128  605332 2975955  5347168  8534922 6249745 2486631 5810112  2509882  8815202  3605511  6107548 9114515 11091721
             256     256  723153 2131261  8534922  8534922 8815202 3545976 7314033  3009318  5455847  4755158  534716811207494 12812277
             512       4  863203 2007358  5886650  6909408 6018636 2196227 4610256  2275345  5067142  2560168   994294 2521095  6018636
             512       8  831132 2560168  6319739 1137404011138071 4228947 6652558  3762197  4163357  2178404  2132967 4742616  7435738
             512      16 1255246 3742527  6571132  2942541 6736026 1977778 2975154  3459188  5886650  2189509  2160868 2622702  8018812
             512      32  628874 2613128  9304292 13522711 5951911 3122224 5214798  5684095 13783088  3788747  4091959 8992598 10694336
             512      64  885631 2613128  5384786  9638369 8394979 2975154 4228947  4228947  6736026  1221684  1954379 1848401  8701110
             512     128  725303 2347475  6652558  6909408 8808176 5067142 4375425  4163357  8955098  3220553  430525010235583 11374040
             512     256  765371 1869318  4228947  8362289 1463057 1438555 4099771  3220553  2391924  2922519  3393590 6843354 11374040
             512     512 1261144 4262523  5164632 1194335711943357 3822466 7309196  3934520  6156675  2317080  1783912 1240025  1467055
            1024       4  407499 1750329  5363307  2934110 4130547 2027069 2934110  2829721  4396951  2124322  1365299 3057339  2216407
            1024       8  447168 2165014  5226256 1217374711132462 2694787 5853003  6163794  8391792  4287225  4249053 7699755  9142007
            1024      16 1190795 3908759  6519323  8457895 6093831 2791104 6650556  3220084  1786736  1858644  2803859 4146499  9142007
            1024      32  872995 3048658  3506651  7644933 8822754 2311849 6830356  4079544  6918376  3271594  2348509 1812371  5853003
            1024      64  712644 2011877  7066349  9485232 8199542 3379719 5917516  4339202  9045736  2934110  2625597 4014717  9300377
            1024     128  757916 2094282  3671521  3643490 3495237 2110750 3495237  3852659  9320560  2260740  3103735 7269678  8970167
            1024     256  796868 3085895  9064828  8122014 8593274 3189002 3937426  3926627  8680108  2225595  2751762 4146499  6025439
            1024     512 1124099 4060261  6744549 1177330111773301 4228138 3999762   992412  5175871  2573677  2484355 5018624  9320560
            1024    1024  522196 1454537  1190795  7524394 8262639 3324778 6609617  4762630  3324778  1471481  1594978 2844715  3631168
            2048       4  582336 2659582  5769681  6114678 4968710 1768638 2786401  2488533  2513289  1663811  2756890 1830447  4521480
            2048       8  716317 1346425  4178378  7368238 6759439 2473485 4633675  3555722  4728042  3189957  1870302 3324528  4490751
            2048      16  672570 1366995  4934459  8498106 8253158 3230749 5640860  4601407  4663865  2083516  2467091 2937929  4347560
            2048      32 1099890 3525079  6149699  9944290 4031308 3155969 4349761  4046500  2268385  1400881  1216910 6167360  9258333
            2048      64  451014 1369829  3573472  6321679 7444871 2964289 5032754  4240255  4697018  2608697  1341170 4472047  7293167
